(312102375, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.59, 0.0, 0.0], [0.0, 0.53, 0.0, 0.0, 175.43, 175.44, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(312202930, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.57, 0.0, 0.0], [0.0, 0.53, 0.0, 0.0, 175.45, 175.46, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(312303004, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.58, 0.0, 0.0], [0.0, 0.52, 0.0, 0.0, 175.45, 175.46, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(312402381, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.57, 0.0, 0.0], [0.0, 0.51, 0.0, 0.01, 175.43, 175.44, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(312502415, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.59, 0.0, 0.0], [0.0, 0.51, 0.0, 0.02, 175.45, 175.46, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(312602726, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.59, 0.0, 0.0], [0.0, 0.51, 0.0, 0.03, 175.44, 175.45, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(312702452, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.51, 0.0, 0.04, 175.46, 175.47, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(312802361, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.52, 0.0, 0.04, 175.45, 175.45, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(312902357, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.57, 0.0, 0.0], [0.0, 0.52, 0.0, 0.04, 175.47, 175.47, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(313002262, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.59, 0.0, 0.0], [0.0, 0.53, 0.0, 0.05, 175.45, 175.46, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(313102455, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.59, 0.0, 0.0], [0.0, 0.52, 0.0, 0.04, 175.47, 175.48, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(313202178, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.59, 0.0, 0.0], [0.0, 0.52, 0.0, 0.04, 175.46, 175.47, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
