(48662991, [2.0, 0.62, 0.0, 0.5, 0.0, 3.6, 0.0, 2.5, 0.0, 0.0], [0.0, 0.6, 0.0, 0.38, 116.92, 116.93, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(48762937, [2.0, 0.62, 0.0, 0.51, 0.0, 3.6, 0.0, 2.51, 0.0, 0.0], [0.0, 0.6, 0.0, 0.38, 116.92, 116.93, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(48862989, [2.0, 0.62, 0.0, 0.51, 0.0, 3.6, 0.0, 2.49, 0.0, 0.0], [0.0, 0.6, 0.0, 0.37, 116.92, 116.93, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(48963077, [2.0, 0.62, 0.0, 0.5, 0.0, 3.6, 0.0, 2.5, 0.0, 0.0], [0.0, 0.6, 0.0, 0.37, 116.92, 116.93, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(49063283, [2.0, 0.62, 0.0, 0.5, 0.0, 3.6, 0.0, 2.5, 0.0, 0.0], [0.0, 0.6, 0.0, 0.37, 116.92, 116.93, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(49162844, [2.0, 0.62, 0.0, 0.51, 0.0, 3.6, 0.0, 2.49, 0.0, 0.0], [0.0, 0.6, 0.0, 0.37, 116.93, 116.93, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(49262942, [2.0, 0.62, 0.0, 0.51, 0.0, 3.6, 0.0, 2.51, 0.0, 0.0], [0.0, 0.6, 0.0, 0.37, 116.93, 116.93, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(49362771, [2.0, 0.62, 0.0, 0.5, 0.0, 3.6, 0.0, 2.5, 0.0, 0.0], [0.0, 0.6, 0.0, 0.37, 116.92, 116.93, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(49462785, [2.0, 0.63, 0.0, 0.51, 0.0, 3.6, 0.0, 2.49, 0.0, 0.0], [0.0, 0.6, 0.0, 0.37, 116.92, 116.93, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(49562796, [2.0, 0.62, 0.0, 0.51, 0.0, 3.6, 0.0, 2.5, 0.0, 0.0], [0.0, 0.6, 0.0, 0.37, 116.93, 116.94, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(49663295, [2.0, 0.62, 0.0, 0.51, 0.0, 3.6, 0.0, 2.52, 0.0, 0.0], [0.0, 0.6, 0.0, 0.37, 116.93, 116.94, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(49763252, [2.0, 0.62, 0.0, 0.5, 0.0, 3.6, 0.0, 2.5, 0.0, 0.0], [0.0, 0.6, 0.0, 0.37, 116.93, 116.94, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(49863311, [2.0, 0.62, 0.0, 0.5, 0.0, 3.6, 0.0, 2.5, 0.0, 0.0], [0.0, 0.6, 0.0, 0.36, 116.93, 116.94, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(49963665, [2.0, 0.63, 0.0, 0.51, 0.0, 3.6, 0.0, 2.51, 0.0, 0.0], [0.0, 0.6, 0.0, 0.36, 116.93, 116.94, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(50064273, [2.0, 0.62, 0.0, 0.51, 0.0, 3.6, 0.0, 2.51, 0.0, 0.0], [0.0, 0.6, 0.0, 0.36, 116.93, 116.94, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(50162799, [2.0, 0.62, 0.0, 0.51, 0.0, 3.6, 0.0, 2.5, 0.0, 0.0], [0.0, 0.6, 0.0, 0.35, 116.93, 116.94, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
