(17621812, [2.0, 0.63, 0.0, 0.61, 0.0, 3.6, 0.0, 2.43, 0.0, 0.0], [0.0, 0.82, 0.0, 0.55, 0.02, 0.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(17721871, [2.0, 0.63, 0.0, 0.61, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.81, 0.0, 0.55, 0.02, 0.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(17822099, [2.0, 0.63, 0.0, 0.61, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, 0.81, 0.0, 0.55, 0.02, 0.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(17921851, [2.0, 0.62, 0.0, 0.61, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, 0.81, 0.0, 0.55, 0.02, 0.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18022049, [2.0, 0.63, 0.0, 0.61, 0.0, 3.6, 0.0, 2.47, 0.0, 0.0], [0.0, 0.81, 0.0, 0.55, 0.02, 0.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18123166, [2.0, 0.62, 0.0, 0.61, 0.0, 3.6, 0.0, 2.46, 0.0, 0.0], [0.0, 0.81, 0.0, 0.55, 0.02, 0.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18222799, [2.0, 0.63, 0.0, 0.61, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.8, 0.0, 0.55, 0.02, 0.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18322789, [2.0, 0.63, 0.0, 0.61, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.8, 0.0, 0.55, 0.02, 0.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18423302, [2.0, 0.63, 0.0, 0.61, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, 0.8, 0.0, 0.55, 0.02, 0.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18523492, [2.0, 0.63, 0.0, 0.61, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.8, 0.0, 0.55, 0.02, 0.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18623733, [2.0, 0.63, 0.0, 0.61, 0.0, 3.6, 0.0, 2.46, 0.0, 0.0], [0.0, 0.8, 0.0, 0.55, 0.02, 0.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18724744, [2.0, 0.63, 0.0, 0.61, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, 0.8, 0.0, 0.55, 0.02, 0.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18822974, [2.0, 0.62, 0.0, 0.61, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, 0.8, 0.0, 0.55, 0.02, 0.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18923070, [2.0, 0.62, 0.0, 0.61, 0.0, 0.68, 0.0, 2.45, 0.0, 0.0], [0.0, 0.8, 0.0, 0.55, 0.02, 0.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(19023171, [2.0, 0.62, 0.0, 0.61, 0.0, 0.68, 0.0, 2.42, 0.0, 0.0], [0.0, 0.8, 0.0, 0.55, 0.02, 0.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(19124358, [2.0, 0.62, 0.0, 0.61, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, 0.8, 0.0, 0.55, 0.02, 0.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(19224151, [2.0, 0.63, 0.0, 0.61, 0.0, 3.6, 0.0, 2.46, 0.0, 0.0], [0.0, 0.8, 0.0, 0.55, 0.02, 0.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(19323852, [2.0, 0.62, 0.0, 0.61, 0.0, 0.67, 0.0, 2.44, 0.0, 0.0], [0.0, 0.79, 0.0, 0.55, 0.02, 0.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(19424021, [2.0, 0.63, 0.0, 0.61, 0.0, 0.67, 0.0, 2.46, 0.0, 0.0], [0.0, 0.79, 0.0, 0.54, 0.02, 0.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(19525400, [2.0, 0.62, 0.0, 0.61, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.79, 0.0, 0.55, 0.01, 0.02, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(19624577, [2.0, 0.63, 0.0, 0.61, 0.0, 0.66, 0.0, 2.45, 0.0, 0.0], [0.0, 0.79, 0.0, 0.54, 0.01, 0.02, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(19724742, [2.0, 0.63, 0.0, 0.61, 0.0, 0.66, 0.0, 2.44, 0.0, 0.0], [0.0, 0.79, 0.0, 0.54, 0.01, 0.02, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(19824927, [2.0, 0.63, 0.0, 0.61, 0.0, 3.6, 0.0, 2.46, 0.0, 0.0], [0.0, 0.79, 0.0, 0.55, 0.02, 0.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(19924900, [2.0, 0.63, 0.0, 0.61, 0.0, 0.69, 0.0, 2.49, 0.0, 0.0], [0.0, 0.79, 0.0, 0.55, 0.02, 0.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(20025054, [2.0, 0.63, 0.0, 0.61, 0.0, 0.69, 0.0, 2.44, 0.0, 0.0], [0.0, 0.79, 0.0, 0.55, 0.02, 0.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(20124666, [2.0, 0.62, 0.0, 0.61, 0.0, 0.67, 0.0, 2.44, 0.0, 0.0], [0.0, 0.78, 0.0, 0.56, 0.01, 0.02, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(20224724, [2.0, 0.63, 0.0, 0.61, 0.0, 0.67, 0.0, 2.44, 0.0, 0.0], [0.0, 0.79, 0.0, 0.56, 359.98, 0.0, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(20324699, [2.0, 0.63, 0.0, 0.61, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, 0.79, 0.0, 0.57, 0.01, 0.02, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(20424748, [2.0, 0.62, 0.0, 0.61, 0.0, 3.6, 0.0, 2.42, 0.0, 0.0], [0.0, 0.8, 0.0, 0.55, 0.0, 0.01, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(20525188, [2.0, 0.62, 0.0, 0.61, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, 0.8, 0.0, 0.55, 0.0, 0.01, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(20624874, [2.0, 0.63, 0.0, 0.61, 0.0, 3.6, 0.0, 2.46, 0.0, 0.0], [0.0, 0.8, 0.0, 0.55, 359.99, 0.0, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(20724645, [2.0, 0.63, 0.0, 0.61, 0.0, 3.6, 0.0, 2.43, 0.0, 0.0], [0.0, 0.8, 0.0, 0.54, 0.0, 0.01, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(20824635, [2.0, 0.62, 0.0, 0.61, 0.0, 3.6, 0.0, 2.43, 0.0, 0.0], [0.0, 0.79, 0.0, 0.54, 359.99, 0.0, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(20924703, [2.0, 0.63, 0.0, 0.61, 0.0, 3.6, 0.0, 2.47, 0.0, 0.0], [0.0, 0.8, 0.0, 0.54, 359.98, 0.0, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
