(223377090, [1.0, 0.57, 0.0, 0.6, 0.0, 3.6, 0.0, 2.42, 0.0, 0.0], [0.0, 0.18, 0.0, -0.03, 88.96, 88.97, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(223476951, [2.0, 0.57, 0.0, 0.6, 0.0, 3.6, 0.0, 2.42, 0.0, 0.0], [0.0, 0.18, 0.0, -0.03, 88.96, 88.96, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(223577027, [2.0, 0.57, 0.0, 0.6, 0.0, 3.6, 0.0, 2.42, 0.0, 0.0], [0.0, 0.18, 0.0, -0.03, 88.96, 88.96, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(223676952, [1.0, 0.57, 0.0, 0.6, 0.0, 3.6, 0.0, 2.42, 0.0, 0.0], [0.0, 0.18, 0.0, -0.03, 88.96, 88.96, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(223776999, [1.0, 0.57, 0.0, 0.6, 0.0, 3.6, 0.0, 2.42, 0.0, 0.0], [0.0, 0.18, 0.0, -0.03, 88.95, 88.95, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(223876839, [1.0, 0.57, 0.0, 0.6, 0.0, 3.6, 0.0, 2.42, 0.0, 0.0], [0.0, 0.19, 0.0, -0.03, 88.95, 88.95, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(223977049, [2.0, 0.57, 0.0, 0.6, 0.0, 3.6, 0.0, 2.42, 0.0, 0.0], [0.0, 0.19, 0.0, -0.03, 88.95, 88.95, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(224076906, [2.0, 0.57, 0.0, 0.6, 0.0, 3.6, 0.0, 2.42, 0.0, 0.0], [0.0, 0.19, 0.0, -0.03, 88.94, 88.95, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(224176787, [1.0, 0.57, 0.0, 0.6, 0.0, 3.6, 0.0, 2.42, 0.0, 0.0], [0.0, 0.19, 0.0, -0.03, 88.94, 88.95, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(224278643, [1.0, 0.57, 0.0, 0.6, 0.0, 3.6, 0.0, 2.42, 0.0, 0.0], [0.0, 0.19, 0.0, -0.03, 88.95, 88.95, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(224378604, [1.0, 0.57, 0.0, 0.6, 0.0, 3.6, 0.0, 2.42, 0.0, 0.0], [0.0, 0.19, 0.0, -0.03, 88.95, 88.95, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(224478475, [2.0, 0.57, 0.0, 0.6, 0.0, 3.6, 0.0, 2.41, 0.0, 0.0], [0.0, 0.19, 0.0, -0.03, 88.94, 88.95, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(224581071, [2.0, 0.57, 0.0, 0.6, 0.0, 3.6, 0.0, 2.41, 0.0, 0.0], [0.0, 0.19, 0.0, -0.03, 88.94, 88.95, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(224679583, [1.0, 0.57, 0.0, 0.6, 0.0, 3.6, 0.0, 2.41, 0.0, 0.0], [0.0, 0.19, 0.0, -0.03, 88.94, 88.95, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(224779369, [1.0, 0.57, 0.0, 0.6, 0.0, 3.6, 0.0, 2.41, 0.0, 0.0], [0.0, 0.19, 0.0, -0.03, 88.94, 88.95, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(224879262, [1.0, 0.57, 0.0, 0.6, 0.0, 3.6, 0.0, 2.41, 0.0, 0.0], [0.0, 0.19, 0.0, -0.02, 88.95, 88.95, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
