(31183684, [1.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.8, 0.0, 0.26, 359.42, 359.44, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(31283501, [1.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.8, 0.0, 0.27, 359.42, 359.44, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(31383573, [1.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.8, 0.0, 0.26, 359.41, 359.43, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(31483550, [2.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.79, 0.0, 0.26, 359.41, 359.43, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(31583891, [2.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.79, 0.0, 0.26, 359.41, 359.43, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(31683491, [1.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.8, 0.0, 0.26, 359.41, 359.43, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(31784199, [1.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.8, 0.0, 0.27, 359.4, 359.43, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(31883532, [1.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.79, 0.0, 0.27, 359.4, 359.42, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(31983706, [2.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.79, 0.0, 0.27, 359.4, 359.42, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(32083480, [2.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.79, 0.0, 0.27, 359.4, 359.42, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(32183509, [1.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.79, 0.0, 0.27, 359.39, 359.41, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(32283518, [1.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.79, 0.0, 0.27, 359.39, 359.41, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(32385947, [1.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.79, 0.0, 0.28, 359.39, 359.41, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(32492354, [2.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.79, 0.0, 0.27, 359.38, 359.4, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(32591924, [2.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.79, 0.0, 0.27, 359.38, 359.4, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(32691907, [1.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.79, 0.0, 0.27, 359.38, 359.4, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(32792019, [1.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.79, 0.0, 0.28, 359.37, 359.39, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(32891949, [1.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.79, 0.0, 0.28, 359.37, 359.39, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(32991919, [2.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.8, 0.0, 0.27, 359.36, 359.39, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(33091961, [2.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.8, 0.0, 0.28, 359.36, 359.39, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(33192002, [1.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.8, 0.0, 0.28, 359.36, 359.38, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(33291921, [1.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.8, 0.0, 0.27, 359.36, 359.38, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(33392472, [1.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.8, 0.0, 0.27, 359.35, 359.37, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(33491955, [2.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.8, 0.0, 0.28, 359.35, 359.37, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(33592139, [2.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.8, 0.0, 0.28, 359.35, 359.37, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(33692623, [1.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.8, 0.0, 0.28, 359.34, 359.36, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(33791996, [1.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.8, 0.0, 0.29, 359.35, 359.37, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(33892382, [1.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.8, 0.0, 0.29, 359.35, 359.37, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(33992010, [2.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.81, 0.0, 0.28, 359.34, 359.36, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(34092027, [2.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.8, 0.0, 0.28, 359.34, 359.36, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(34191989, [1.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.8, 0.0, 0.28, 359.33, 359.35, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(34303391, [1.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.8, 0.0, 0.28, 359.33, 359.35, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(34403500, [1.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.8, 0.0, 0.28, 359.33, 359.35, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(34503664, [2.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.81, 0.0, 0.28, 359.32, 359.34, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(34603626, [2.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.8, 0.0, 0.28, 359.32, 359.34, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(34703352, [1.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.8, 0.0, 0.28, 359.31, 359.33, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(34804269, [1.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.81, 0.0, 0.28, 359.31, 359.33, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(34903519, [1.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.8, 0.0, 0.28, 359.3, 359.32, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(35003743, [2.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.8, 0.0, 0.29, 359.3, 359.32, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(35103588, [2.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.81, 0.0, 0.29, 359.3, 359.32, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(35203670, [1.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.8, 0.0, 0.29, 359.29, 359.32, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(35304183, [1.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.8, 0.0, 0.29, 359.29, 359.31, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(35406282, [1.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.8, 0.0, 0.29, 359.29, 359.31, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(35521232, [2.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.81, 0.0, 0.28, 359.28, 359.3, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(35621586, [2.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.81, 0.0, 0.28, 359.28, 359.3, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(35732833, [1.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.81, 0.0, 0.28, 359.27, 359.3, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(35831990, [1.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.81, 0.0, 0.29, 359.27, 359.29, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(35932335, [1.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.8, 0.0, 0.28, 359.27, 359.29, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(36031911, [2.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.8, 0.0, 0.28, 359.27, 359.29, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(36131902, [2.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.8, 0.0, 0.28, 359.27, 359.29, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(36232369, [1.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.8, 0.0, 0.27, 359.27, 359.29, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(36332903, [1.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.8, 0.0, 0.27, 359.27, 359.29, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(36432306, [1.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.8, 0.0, 0.27, 359.27, 359.29, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(36532397, [2.0, 0.74, 0.0, 3.6, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.8, 0.0, 0.28, 359.27, 359.29, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
