(55684086, [2.0, 0.63, 0.0, 0.5, 0.0, 3.6, 0.0, 2.52, 0.0, 0.0], [0.0, -0.17, 0.0, -0.39, 53.86, 53.85, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(55784716, [2.0, 0.63, 0.0, 0.5, 0.0, 3.6, 0.0, 2.52, 0.0, 0.0], [0.0, -0.16, 0.0, -0.4, 53.88, 53.87, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(55884259, [2.0, 0.63, 0.0, 0.5, 0.0, 3.6, 0.0, 2.5, 0.0, 0.0], [0.0, -0.15, 0.0, -0.4, 53.88, 53.87, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(55984079, [2.0, 0.63, 0.0, 0.5, 0.0, 3.6, 0.0, 2.52, 0.0, 0.0], [0.0, -0.14, 0.0, -0.41, 53.86, 53.85, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(56084067, [2.0, 0.63, 0.0, 0.5, 0.0, 3.6, 0.0, 2.52, 0.0, 0.0], [0.0, -0.14, 0.0, -0.42, 53.86, 53.85, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(56184064, [2.0, 0.63, 0.0, 0.5, 0.0, 3.6, 0.0, 2.51, 0.0, 0.0], [0.0, -0.13, 0.0, -0.42, 53.85, 53.85, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(56283959, [2.0, 0.63, 0.0, 0.5, 0.0, 3.6, 0.0, 2.52, 0.0, 0.0], [0.0, -0.13, 0.0, -0.41, 53.87, 53.87, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(56384068, [2.0, 0.63, 0.0, 0.5, 0.0, 3.6, 0.0, 2.51, 0.0, 0.0], [0.0, -0.13, 0.0, -0.42, 53.87, 53.87, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(56484502, [2.0, 0.62, 0.0, 0.49, 0.0, 1.0, 0.0, 2.5, 0.0, 0.0], [0.0, -0.13, 0.0, -0.41, 53.87, 53.87, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(56584066, [2.0, 0.63, 0.0, 0.5, 0.0, 0.98, 0.0, 2.53, 0.0, 0.0], [0.0, -0.13, 0.0, -0.42, 53.87, 53.86, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(56683926, [2.0, 0.63, 0.0, 0.5, 0.0, 0.98, 0.0, 2.52, 0.0, 0.0], [0.0, -0.13, 0.0, -0.42, 53.87, 53.87, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(56784218, [2.0, 0.63, 0.0, 0.5, 0.0, 1.02, 0.0, 2.52, 0.0, 0.0], [0.0, -0.12, 0.0, -0.42, 53.88, 53.88, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(56885133, [2.0, 0.63, 0.0, 0.5, 0.0, 3.6, 0.0, 2.51, 0.0, 0.0], [0.0, -0.12, 0.0, -0.42, 53.88, 53.87, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(56984689, [2.0, 0.63, 0.0, 0.5, 0.0, 3.6, 0.0, 2.51, 0.0, 0.0], [0.0, -0.11, 0.0, -0.41, 53.88, 53.88, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(57084300, [2.0, 0.63, 0.0, 0.5, 0.0, 3.6, 0.0, 2.52, 0.0, 0.0], [0.0, -0.11, 0.0, -0.42, 53.88, 53.88, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(57184030, [2.0, 0.63, 0.0, 0.5, 0.0, 3.6, 0.0, 2.52, 0.0, 0.0], [0.0, -0.11, 0.0, -0.42, 53.89, 53.89, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(57284260, [2.0, 0.63, 0.0, 0.5, 0.0, 3.6, 0.0, 2.51, 0.0, 0.0], [0.0, -0.1, 0.0, -0.42, 53.88, 53.88, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(57384081, [2.0, 0.63, 0.0, 0.49, 0.0, 3.6, 0.0, 2.52, 0.0, 0.0], [0.0, -0.1, 0.0, -0.41, 53.9, 53.9, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(57484483, [2.0, 0.63, 0.0, 0.5, 0.0, 3.6, 0.0, 2.51, 0.0, 0.0], [0.0, -0.1, 0.0, -0.41, 53.9, 53.9, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(57584081, [2.0, 0.63, 0.0, 0.5, 0.0, 3.6, 0.0, 2.51, 0.0, 0.0], [0.0, -0.1, 0.0, -0.41, 53.9, 53.9, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(57684546, [2.0, 0.63, 0.0, 0.5, 0.0, 3.6, 0.0, 2.51, 0.0, 0.0], [0.0, -0.09, 0.0, -0.41, 53.88, 53.88, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(57784718, [2.0, 0.62, 0.0, 0.5, 0.0, 3.6, 0.0, 2.5, 0.0, 0.0], [0.0, -0.08, 0.0, -0.41, 53.9, 53.9, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(57884338, [2.0, 0.63, 0.0, 0.49, 0.0, 3.6, 0.0, 2.53, 0.0, 0.0], [0.0, -0.08, 0.0, -0.41, 53.9, 53.87, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(57984201, [2.0, 0.63, 0.0, 0.5, 0.0, 3.6, 0.0, 2.53, 0.0, 0.0], [0.0, 0.02, 0.0, -0.52, 53.9, 53.62, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
