(40493295, [2.0, 0.58, 0.0, 0.62, 0.0, 0.69, 0.0, 2.44, 0.0, 0.0], [0.0, -0.14, 0.0, -0.7, 95.64, 95.63, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(40593476, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.43, 0.0, 0.0], [0.0, -0.15, 0.0, -0.69, 95.64, 95.64, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(40695780, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, -0.14, 0.0, -0.7, 95.69, 95.68, 0.0, 1.0], [7.65, 25.0, 0.0, 0.0])
(40795449, [2.0, 0.58, 0.0, 0.63, 0.0, 3.6, 0.0, 2.46, 0.0, 0.0], [0.0, -0.14, 0.0, -0.7, 95.69, 95.69, 0.0, 1.0], [7.65, 25.0, 0.0, 0.0])
(40895540, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.42, 0.0, 0.0], [0.0, -0.13, 0.0, -0.71, 95.72, 95.72, 0.0, 1.0], [7.65, 25.0, 0.0, 0.0])
(40995432, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, -0.12, 0.0, -0.73, 95.73, 95.73, 0.0, 1.0], [7.65, 25.0, 0.0, 0.0])
(41095576, [2.0, 0.58, 0.0, 0.62, 0.0, 0.7, 0.0, 2.43, 0.0, 0.0], [0.0, -0.13, 0.0, -0.73, 95.75, 95.75, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(41195438, [2.0, 0.58, 0.0, 0.62, 0.0, 0.7, 0.0, 2.43, 0.0, 0.0], [0.0, -0.13, 0.0, -0.73, 95.77, 95.77, 0.0, 1.0], [7.65, 25.0, 0.0, 0.0])
(41295454, [2.0, 0.58, 0.0, 0.62, 0.0, 0.71, 0.0, 2.44, 0.0, 0.0], [0.0, -0.13, 0.0, -0.74, 95.8, 95.8, 0.0, 1.0], [7.65, 25.0, 0.0, 0.0])
(41395448, [2.0, 0.58, 0.0, 0.62, 0.0, 0.71, 0.0, 2.44, 0.0, 0.0], [0.0, -0.12, 0.0, -0.74, 95.81, 95.81, 0.0, 1.0], [7.65, 25.0, 0.0, 0.0])
(41495460, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.43, 0.0, 0.0], [0.0, -0.13, 0.0, -0.74, 95.85, 95.85, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(41595305, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, -0.13, 0.0, -0.75, 95.85, 95.85, 0.0, 1.0], [7.65, 25.0, 0.0, 0.0])
(41696085, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, -0.11, 0.0, -0.75, 95.88, 95.88, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(41795645, [2.0, 0.58, 0.0, 0.62, 0.0, 0.74, 0.0, 2.41, 0.0, 0.0], [0.0, -0.12, 0.0, -0.75, 95.91, 95.9, 0.0, 1.0], [7.65, 25.0, 0.0, 0.0])
(41895531, [2.0, 0.58, 0.0, 0.62, 0.0, 0.74, 0.0, 2.42, 0.0, 0.0], [0.0, -0.12, 0.0, -0.75, 95.93, 95.92, 0.0, 1.0], [7.65, 25.0, 0.0, 0.0])
(41995435, [2.0, 0.58, 0.0, 0.63, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, -0.11, 0.0, -0.75, 95.95, 95.95, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(42095473, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.43, 0.0, 0.0], [0.0, -0.1, 0.0, -0.75, 95.95, 95.95, 0.0, 1.0], [7.65, 25.0, 0.0, 0.0])
(42195451, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, -0.11, 0.0, -0.75, 95.99, 95.99, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(42295420, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.41, 0.0, 0.0], [0.0, -0.11, 0.0, -0.76, 96.01, 96.01, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(42395406, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.42, 0.0, 0.0], [0.0, -0.1, 0.0, -0.76, 96.03, 96.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(42495436, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, -0.1, 0.0, -0.76, 96.05, 96.05, 0.0, 1.0], [7.65, 25.0, 0.0, 0.0])
(42595465, [2.0, 0.58, 0.0, 0.63, 0.0, 3.6, 0.0, 2.43, 0.0, 0.0], [0.0, -0.09, 0.0, -0.75, 96.06, 96.06, 0.0, 1.0], [7.65, 25.0, 0.0, 0.0])
(42695444, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, -0.1, 0.0, -0.76, 96.1, 96.1, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(42795437, [2.0, 0.58, 0.0, 0.62, 0.0, 0.73, 0.0, 2.43, 0.0, 0.0], [0.0, -0.09, 0.0, -0.76, 96.1, 96.1, 0.0, 1.0], [7.65, 25.0, 0.0, 0.0])
(42895449, [2.0, 0.58, 0.0, 0.62, 0.0, 0.73, 0.0, 2.44, 0.0, 0.0], [0.0, -0.09, 0.0, -0.76, 96.13, 96.12, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(42995475, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.43, 0.0, 0.0], [0.0, -0.08, 0.0, -0.76, 96.13, 96.14, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(43096060, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.43, 0.0, 0.0], [0.0, -0.09, 0.0, -0.75, 96.13, 96.14, 0.0, 1.0], [0.25, 25.0, 0.0, 0.0])
(43195439, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.43, 0.0, 0.0], [0.0, -0.05, 0.0, -0.75, 96.13, 96.16, 0.0, 1.0], [7.65, 25.0, 0.0, 0.0])
(43295464, [2.0, 0.58, 0.0, 0.63, 0.0, 3.6, 0.0, 2.46, 0.0, 0.0], [0.0, -0.05, 0.0, -0.73, 96.13, 96.16, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(43395469, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.43, 0.0, 0.0], [0.0, -0.07, 0.0, -0.74, 96.13, 96.12, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(43495453, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [-4.01, -0.14, -0.2, -0.72, 96.13, 95.89, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(43595909, [2.0, 0.58, 0.0, 0.63, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [-6.92, -0.18, -0.3, -0.76, 96.13, 95.73, 0.01, 1.0], [0.2, 25.0, 0.0, 0.0])
(43695732, [2.0, 0.58, 0.0, 0.63, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [-8.35, -0.19, -0.35, -0.73, 96.13, 95.58, 0.01, 1.0], [0.2, 25.0, 0.0, 0.0])
(43796063, [2.0, 0.58, 0.0, 0.63, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [-9.06, -0.21, -0.37, -0.76, 96.13, 95.34, 0.01, 1.0], [0.2, 25.0, 0.0, 0.0])
(43895523, [2.0, 0.58, 0.0, 0.63, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [-9.39, -0.5, -0.38, -0.78, 96.13, 95.05, 0.01, 1.0], [0.2, 25.0, 0.0, 0.0])
