(54791869, [2.0, 0.63, 0.0, 0.85, 0.0, 3.6, 0.0, 2.18, 0.0, 0.0], [0.0, -0.05, 0.0, 0.0, 57.84, 57.84, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(54892212, [2.0, 0.63, 0.0, 0.85, 0.0, 0.64, 0.0, 2.19, 0.0, 0.0], [0.0, -0.04, 0.0, 0.0, 57.83, 57.83, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(54991802, [2.0, 0.63, 0.0, 0.85, 0.0, 0.67, 0.0, 2.19, 0.0, 0.0], [0.0, -0.05, 0.0, 0.0, 57.82, 57.81, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(55092187, [2.0, 0.63, 0.0, 0.85, 0.0, 0.67, 0.0, 2.19, 0.0, 0.0], [0.0, -0.05, 0.0, 0.0, 57.8, 57.8, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(55191809, [2.0, 0.63, 0.0, 0.85, 0.0, 3.6, 0.0, 2.19, 0.0, 0.0], [0.0, -0.04, 0.0, 0.0, 57.79, 57.78, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(55292160, [2.0, 0.63, 0.0, 0.85, 0.0, 3.6, 0.0, 2.19, 0.0, 0.0], [0.0, -0.04, 0.0, 0.0, 57.77, 57.77, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(55393307, [2.0, 0.63, 0.0, 0.86, 0.0, 3.6, 0.0, 2.19, 0.0, 0.0], [0.0, -0.04, 0.0, 0.0, 57.75, 57.75, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(55493634, [2.0, 0.63, 0.0, 0.85, 0.0, 3.6, 0.0, 2.19, 0.0, 0.0], [0.0, -0.04, 0.0, 0.0, 57.74, 57.74, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(55593052, [2.0, 0.63, 0.0, 0.85, 0.0, 3.6, 0.0, 2.19, 0.0, 0.0], [0.0, -0.04, 0.0, 0.0, 57.73, 57.73, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(55693250, [2.0, 0.63, 0.0, 0.85, 0.0, 0.66, 0.0, 2.18, 0.0, 0.0], [0.0, -0.04, 0.0, 0.0, 57.72, 57.71, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(55793209, [2.0, 0.63, 0.0, 0.85, 0.0, 0.66, 0.0, 2.19, 0.0, 0.0], [0.0, -0.04, 0.0, 0.0, 57.7, 57.7, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(55893213, [2.0, 0.63, 0.0, 0.86, 0.0, 3.6, 0.0, 2.18, 0.0, 0.0], [0.0, -0.04, 0.0, 0.0, 57.69, 57.68, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(55993330, [2.0, 0.63, 0.0, 0.85, 0.0, 0.65, 0.0, 2.19, 0.0, 0.0], [0.0, -0.04, 0.0, 0.0, 57.67, 57.67, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(56093091, [2.0, 0.63, 0.0, 0.85, 0.0, 0.65, 0.0, 2.19, 0.0, 0.0], [0.0, -0.04, 0.0, 0.0, 57.66, 57.66, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(56193119, [2.0, 0.63, 0.0, 0.85, 0.0, 0.69, 0.0, 2.19, 0.0, 0.0], [0.0, -0.04, 0.0, 0.0, 57.65, 57.64, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(56293211, [2.0, 0.63, 0.0, 0.85, 0.0, 0.71, 0.0, 2.19, 0.0, 0.0], [0.0, -0.04, 0.0, 0.0, 57.63, 57.63, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(56393945, [2.0, 0.63, 0.0, 0.85, 0.0, 0.71, 0.0, 2.2, 0.0, 0.0], [0.0, -0.04, 0.0, 0.0, 57.62, 57.62, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(56493329, [2.0, 0.63, 0.0, 0.85, 0.0, 3.6, 0.0, 2.18, 0.0, 0.0], [0.0, -0.04, 0.0, 0.0, 57.61, 57.61, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(56593434, [2.0, 0.63, 0.0, 0.85, 0.0, 3.6, 0.0, 2.19, 0.0, 0.0], [0.0, -0.04, 0.0, 0.0, 57.59, 57.59, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(56693252, [2.0, 0.63, 0.0, 0.86, 0.0, 3.6, 0.0, 2.2, 0.0, 0.0], [0.0, -0.04, 0.0, 0.01, 57.58, 57.58, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(56793275, [2.0, 0.63, 0.0, 0.86, 0.0, 3.6, 0.0, 2.18, 0.0, 0.0], [0.0, -0.04, 0.0, 0.01, 57.56, 57.56, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(56893213, [2.0, 0.63, 0.0, 0.85, 0.0, 3.6, 0.0, 2.2, 0.0, 0.0], [0.0, -0.04, 0.0, 0.01, 57.55, 57.54, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(56993172, [2.0, 0.63, 0.0, 0.85, 0.0, 3.6, 0.0, 2.18, 0.0, 0.0], [0.0, -0.04, 0.0, 0.0, 57.56, 57.55, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(57093037, [2.0, 0.63, 0.0, 0.85, 0.0, 3.6, 0.0, 2.18, 0.0, 0.0], [0.0, -0.05, 0.0, 0.01, 57.54, 57.54, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(57193414, [2.0, 0.63, 0.0, 0.85, 0.0, 3.6, 0.0, 2.18, 0.0, 0.0], [0.0, -0.05, 0.0, 0.01, 57.5, 57.5, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(57293011, [2.0, 0.63, 0.0, 0.85, 0.0, 3.6, 0.0, 2.18, 0.0, 0.0], [0.0, -0.06, 0.0, 0.03, 57.47, 57.47, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(57393255, [2.0, 0.63, 0.0, 0.85, 0.0, 3.6, 0.0, 2.19, 0.0, 0.0], [0.0, -0.05, 0.0, 0.02, 57.46, 57.46, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(57493113, [2.0, 0.63, 0.0, 0.85, 0.0, 0.65, 0.0, 2.19, 0.0, 0.0], [0.0, -0.05, 0.0, 0.02, 57.47, 57.46, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(57593198, [2.0, 0.63, 0.0, 0.85, 0.0, 0.64, 0.0, 2.18, 0.0, 0.0], [0.0, -0.05, 0.0, 0.02, 57.45, 57.45, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(57693282, [2.0, 0.63, 0.0, 0.85, 0.0, 0.64, 0.0, 2.19, 0.0, 0.0], [0.0, -0.05, 0.0, 0.01, 57.43, 57.43, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(57793328, [2.0, 0.63, 0.0, 0.85, 0.0, 3.6, 0.0, 2.2, 0.0, 0.0], [0.0, -0.05, 0.0, 0.01, 57.42, 57.41, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(57893028, [2.0, 0.63, 0.0, 0.85, 0.0, 3.6, 0.0, 2.19, 0.0, 0.0], [0.0, -0.05, 0.0, 0.0, 57.4, 57.39, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(57993445, [2.0, 0.63, 0.0, 0.85, 0.0, 0.67, 0.0, 2.19, 0.0, 0.0], [0.0, -0.05, 0.0, 0.01, 57.38, 57.38, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(58093476, [2.0, 0.63, 0.0, 0.85, 0.0, 0.67, 0.0, 2.19, 0.0, 0.0], [0.0, -0.05, 0.0, 0.01, 57.37, 57.37, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(58193752, [2.0, 0.63, 0.0, 0.85, 0.0, 3.6, 0.0, 2.19, 0.0, 0.0], [0.0, -0.05, 0.0, 0.01, 57.36, 57.36, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(58293295, [2.0, 0.63, 0.0, 0.85, 0.0, 3.6, 0.0, 2.19, 0.0, 0.0], [0.0, -0.04, 0.0, 0.01, 57.34, 57.34, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(58393220, [2.0, 0.62, 0.0, 0.85, 0.0, 3.6, 0.0, 2.19, 0.0, 0.0], [0.0, -0.05, 0.0, 0.01, 57.33, 57.32, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(58493450, [2.0, 0.63, 0.0, 0.85, 0.0, 3.6, 0.0, 2.19, 0.0, 0.0], [0.0, -0.04, 0.0, 0.01, 57.32, 57.31, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(58593559, [2.0, 0.63, 0.0, 0.85, 0.0, 3.6, 0.0, 2.19, 0.0, 0.0], [0.0, -0.04, 0.0, 0.01, 57.3, 57.3, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(58693502, [2.0, 0.63, 0.0, 0.85, 0.0, 3.6, 0.0, 2.19, 0.0, 0.0], [0.0, -0.05, 0.0, 0.01, 57.28, 57.28, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(58793716, [2.0, 0.63, 0.0, 0.85, 0.0, 3.6, 0.0, 2.2, 0.0, 0.0], [0.0, -0.04, 0.0, 0.01, 57.28, 57.28, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(58893252, [2.0, 0.63, 0.0, 0.85, 0.0, 3.6, 0.0, 2.19, 0.0, 0.0], [0.0, -0.04, 0.0, 0.01, 57.26, 57.26, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(58993144, [2.0, 0.63, 0.0, 0.85, 0.0, 3.6, 0.0, 2.19, 0.0, 0.0], [0.0, -0.04, 0.0, 0.01, 57.24, 57.24, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(59093264, [2.0, 0.63, 0.0, 0.85, 0.0, 3.6, 0.0, 2.19, 0.0, 0.0], [0.0, -0.03, 0.0, 0.01, 57.23, 57.23, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(59193119, [2.0, 0.63, 0.0, 0.85, 0.0, 3.6, 0.0, 2.18, 0.0, 0.0], [0.0, -0.03, 0.0, 0.01, 57.21, 57.21, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(59293223, [2.0, 0.63, 0.0, 0.85, 0.0, 3.6, 0.0, 2.2, 0.0, 0.0], [0.0, -0.04, 0.0, 0.02, 57.19, 57.19, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(59393236, [2.0, 0.63, 0.0, 0.85, 0.0, 3.6, 0.0, 2.2, 0.0, 0.0], [0.0, -0.03, 0.0, 0.01, 57.2, 57.19, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(59493266, [2.0, 0.63, 0.0, 0.85, 0.0, 3.6, 0.0, 2.19, 0.0, 0.0], [0.0, -0.03, 0.0, 0.01, 57.17, 57.17, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(59593097, [2.0, 0.63, 0.0, 0.85, 0.0, 3.6, 0.0, 2.18, 0.0, 0.0], [0.0, -0.03, 0.0, 0.01, 57.16, 57.16, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(59693177, [2.0, 0.63, 0.0, 0.85, 0.0, 3.6, 0.0, 2.18, 0.0, 0.0], [0.0, -0.01, 0.0, 0.07, 57.17, 56.99, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(59793308, [2.0, 0.63, 0.0, 0.85, 0.0, 0.65, 0.0, 2.18, 0.0, 0.0], [0.0, 0.09, 0.0, -0.19, 57.17, 56.51, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(59893318, [2.0, 0.63, 0.0, 0.86, 0.0, 0.65, 0.0, 2.18, 0.0, 0.0], [0.0, 0.47, 0.0, -1.2, 57.17, 55.57, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(59993410, [2.0, 0.63, 0.0, 0.86, 0.0, 3.6, 0.0, 2.19, 0.0, 0.0], [0.0, 1.27, 0.0, -2.02, 57.17, 54.37, 0.01, 1.0], [0.2, 25.0, 0.0, 0.0])
(60093325, [2.0, 0.62, 0.0, 0.85, 0.0, 3.6, 0.0, 2.18, 0.0, 0.0], [0.0, 1.73, 0.0, -3.07, 57.17, 53.08, 0.01, 1.0], [0.2, 25.0, 0.0, 0.0])
(60193308, [2.0, 0.62, 0.0, 0.85, 0.0, 3.6, 0.0, 2.18, 0.0, 0.0], [-1.49, 1.48, -0.28, -4.3, 57.17, 51.66, 0.02, 1.0], [0.2, 25.0, 0.0, 0.0])
(60293764, [2.0, 0.61, 0.0, 0.85, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [-2.46, 0.26, -0.42, -5.2, 57.17, 50.4, 0.02, 1.0], [0.2, 25.0, 0.0, 0.0])
(60393519, [2.0, 0.59, 0.0, 0.85, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [-2.89, 0.17, -0.45, -5.61, 57.17, 49.57, 0.02, 1.0], [0.2, 25.0, 0.0, 0.0])
(60493421, [2.0, 0.55, 0.0, 0.85, 0.0, 3.6, 0.0, 2.19, 0.0, 0.0], [-3.13, -0.1, -0.39, -5.26, 57.17, 49.22, 0.02, 1.0], [0.2, 25.0, 0.0, 0.0])
(60593265, [2.0, 0.53, 0.0, 0.84, 0.0, 3.6, 0.0, 2.22, 0.0, 0.0], [-3.27, 0.0, -0.29, -5.25, 57.17, 49.17, 0.03, 1.0], [0.2, 25.0, 0.0, 0.0])
(60693450, [2.0, 0.45, 0.0, 0.84, 0.0, 3.6, 0.0, 2.23, 0.0, 0.0], [-3.34, -0.02, -0.1, -4.97, 57.17, 49.34, 0.03, 1.0], [0.2, 25.0, 0.0, 0.0])
(60793742, [2.0, 0.37, 0.0, 0.84, 0.0, 3.6, 0.0, 2.26, 0.0, 0.0], [-3.41, 0.1, 0.13, -4.68, 57.17, 49.64, 0.04, 1.0], [0.2, 25.0, 0.0, 0.0])
(60893302, [2.0, 0.32, 0.0, 0.83, 0.0, 3.6, 0.0, 2.27, 0.0, 0.0], [-3.46, -0.05, 0.41, -4.38, 57.17, 50.01, 0.04, 1.0], [0.2, 25.0, 0.0, 0.0])
(60993231, [2.0, 0.27, 0.0, 0.83, 0.0, 3.6, 0.0, 2.26, 0.0, 0.0], [-3.5, 0.25, 0.74, -4.38, 57.17, 51.05, 0.04, 1.0], [0.2, 25.0, 0.0, 0.0])
(61093302, [2.0, 0.21, 0.0, 0.83, 0.0, 3.6, 0.0, 2.27, 0.0, 0.0], [-3.53, 0.73, 1.06, -4.95, 57.17, 55.41, 0.04, 1.0], [0.2, 25.0, 0.0, 0.0])
(61193511, [2.0, 0.2, 0.0, 0.84, 0.0, 3.6, 0.0, 2.24, 0.0, 0.0], [-3.52, 0.45, 1.27, -3.91, 57.17, 61.95, 0.12, 1.0], [0.2, 25.0, 0.0, 0.0])
(61293584, [2.0, 0.2, 0.0, 0.85, 0.0, 1.42, 0.0, 2.16, 0.0, 0.0], [-3.45, -0.62, 1.39, -2.2, 57.17, 66.41, 0.12, 1.0], [0.2, 25.0, 0.0, 0.0])
(61393277, [2.0, 0.2, 0.0, 0.89, 0.0, 1.42, 0.0, 2.13, 0.0, 0.0], [-3.36, -0.98, 1.46, -0.58, 57.17, 67.09, 0.11, 1.0], [0.2, 25.0, 0.0, 0.0])
(61493577, [2.0, 0.21, 0.0, 0.91, 0.0, 3.6, 0.0, 2.11, 0.0, 0.0], [-3.3, -0.73, 1.47, -0.25, 57.17, 64.91, 0.11, 1.0], [0.2, 25.0, 0.0, 0.0])
(61593598, [2.0, 0.22, 0.0, 0.95, 0.0, 3.6, 0.0, 2.08, 0.0, 0.0], [-3.24, -0.68, 1.46, -0.52, 57.17, 61.16, 0.09, 1.0], [0.2, 25.0, 0.0, 0.0])
(61693255, [2.0, 0.23, 0.0, 0.96, 0.0, 3.6, 0.0, 2.07, 0.0, 0.0], [-3.2, -0.9, 1.42, -1.14, 57.17, 56.65, 0.09, 1.0], [0.2, 25.0, 0.0, 0.0])
(61793415, [2.0, 0.23, 0.0, 1.0, 0.0, 3.6, 0.0, 2.04, 0.0, 0.0], [-3.15, -0.74, 1.38, -2.05, 57.17, 52.29, 0.08, 1.0], [0.2, 25.0, 0.0, 0.0])
(61893420, [2.0, 0.23, 0.0, 1.03, 0.0, 3.6, 0.0, 2.05, 0.0, 0.0], [-3.12, -0.3, 1.36, -1.64, 57.17, 49.99, 0.08, 1.0], [0.2, 25.0, 0.0, 0.0])
(61993540, [2.0, 0.22, 0.0, 1.06, 0.0, 3.6, 0.0, 2.05, 0.0, 0.0], [-3.11, -0.57, 1.36, -0.83, 57.17, 54.74, 0.07, 1.0], [0.2, 25.0, 0.0, 0.0])
(62093975, [2.0, 0.22, 0.0, 1.08, 0.0, 3.6, 0.0, 1.96, 0.0, 0.0], [-3.07, -1.35, 1.37, -0.26, 57.17, 58.76, 0.07, 1.0], [0.2, 25.0, 0.0, 0.0])
(62193439, [2.0, 0.21, 0.0, 1.1, 0.0, 1.36, 0.0, 1.92, 0.0, 0.0], [-2.97, -2.21, 1.4, -0.13, 57.17, 59.87, 0.06, 1.0], [0.2, 25.0, 0.0, 0.0])
(62293306, [2.0, 0.21, 0.0, 1.13, 0.0, 1.36, 0.0, 1.9, 0.0, 0.0], [-2.9, -2.86, 1.42, 0.1, 57.17, 61.91, 0.06, 1.0], [0.2, 25.0, 0.0, 0.0])
(62393320, [2.0, 0.2, 0.0, 1.17, 0.0, 3.6, 0.0, 1.86, 0.0, 0.0], [-2.83, -3.03, 1.45, 0.36, 57.17, 63.18, 0.05, 1.0], [0.2, 25.0, 0.0, 0.0])
(62493291, [2.0, 0.2, 0.0, 1.19, 0.0, 0.93, 0.0, 1.85, 0.0, 0.0], [-2.77, -3.24, 1.48, 0.64, 57.17, 64.26, 0.05, 1.0], [0.2, 25.0, 0.0, 0.0])
(62593075, [2.0, 0.2, 0.0, 1.22, 0.0, 0.9, 0.0, 1.79, 0.0, 0.0], [-2.71, -2.31, 1.49, 0.94, 57.17, 64.86, 0.05, 1.0], [0.2, 25.0, 0.0, 0.0])
(62693101, [2.0, 0.2, 0.0, 1.24, 0.0, 0.91, 0.0, 1.77, 0.0, 0.0], [-2.63, -1.89, 1.49, 0.91, 57.17, 64.67, 0.05, 1.0], [0.2, 25.0, 0.0, 0.0])
