(43174557, [2.0, 0.52, 0.0, 0.65, 0.0, 3.6, 0.0, 2.39, 0.0, 0.0], [0.0, 0.65, 0.0, 0.33, 139.31, 139.32, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(43273989, [2.0, 0.53, 0.0, 0.65, 0.0, 3.6, 0.0, 2.39, 0.0, 0.0], [0.0, 0.65, 0.0, 0.33, 139.31, 139.32, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(43374026, [2.0, 0.52, 0.0, 0.65, 0.0, 3.6, 0.0, 2.42, 0.0, 0.0], [0.0, 0.65, 0.0, 0.33, 139.3, 139.31, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(43473865, [2.0, 0.52, 0.0, 0.65, 0.0, 3.6, 0.0, 2.34, 0.0, 0.0], [0.0, 0.65, 0.0, 0.33, 139.3, 139.31, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(43575084, [2.0, 0.52, 0.0, 0.65, 0.0, 3.6, 0.0, 2.37, 0.0, 0.0], [0.0, 0.65, 0.0, 0.33, 139.29, 139.3, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(43673980, [2.0, 0.52, 0.0, 0.65, 0.0, 3.6, 0.0, 2.39, 0.0, 0.0], [0.0, 0.65, 0.0, 0.33, 139.29, 139.3, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(43774468, [2.0, 0.52, 0.0, 0.65, 0.0, 3.6, 0.0, 2.4, 0.0, 0.0], [0.0, 0.66, 0.0, 0.33, 139.28, 139.29, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(43874102, [2.0, 0.53, 0.0, 0.65, 0.0, 3.6, 0.0, 2.39, 0.0, 0.0], [0.0, 0.66, 0.0, 0.32, 139.28, 139.28, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(43974850, [2.0, 0.53, 0.0, 0.65, 0.0, 3.6, 0.0, 2.38, 0.0, 0.0], [0.0, 0.66, 0.0, 0.32, 139.27, 139.28, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(44074105, [2.0, 0.52, 0.0, 0.66, 0.0, 3.6, 0.0, 2.38, 0.0, 0.0], [0.0, 0.66, 0.0, 0.32, 139.26, 139.27, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(44173853, [2.0, 0.52, 0.0, 0.65, 0.0, 0.78, 0.0, 3.6, 0.0, 0.0], [0.0, 0.66, 0.0, 0.31, 139.25, 139.26, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
