(46764125, [2.0, 0.71, 0.0, 0.61, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.53, 0.0, -0.01, 359.87, 359.89, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(46864350, [2.0, 0.71, 0.0, 0.61, 0.0, 3.6, 0.0, 2.43, 0.0, 0.0], [0.0, 0.53, 0.0, -0.01, 359.87, 359.88, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(46964121, [2.0, 0.71, 0.0, 0.61, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.53, 0.0, -0.01, 359.87, 359.88, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(47064727, [2.0, 0.71, 0.0, 0.61, 0.0, 3.6, 0.0, 2.42, 0.0, 0.0], [0.0, 0.53, 0.0, -0.01, 359.87, 359.88, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(47164644, [2.0, 0.7, 0.0, 0.61, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, 0.53, 0.0, -0.01, 359.87, 359.88, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(47264812, [2.0, 0.71, 0.0, 0.61, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, 0.53, 0.0, -0.01, 359.87, 359.89, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(47364659, [2.0, 0.71, 0.0, 0.61, 0.0, 3.6, 0.0, 2.43, 0.0, 0.0], [0.0, 0.53, 0.0, -0.01, 359.87, 359.89, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(47464680, [2.0, 0.71, 0.0, 0.61, 0.0, 0.54, 0.0, 2.44, 0.0, 0.0], [0.0, 0.53, 0.0, 0.0, 359.87, 359.89, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(47564723, [2.0, 0.71, 0.0, 0.61, 0.0, 0.54, 0.0, 2.45, 0.0, 0.0], [0.0, 0.54, 0.0, -0.01, 359.87, 359.89, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(47664654, [2.0, 0.71, 0.0, 0.61, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, 0.54, 0.0, 0.0, 359.88, 359.89, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(47764669, [2.0, 0.71, 0.0, 0.61, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.54, 0.0, 0.0, 359.88, 359.89, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(47864739, [2.0, 0.7, 0.0, 0.61, 0.0, 3.6, 0.0, 2.43, 0.0, 0.0], [0.0, 0.54, 0.0, 0.0, 359.88, 359.89, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(47964771, [2.0, 0.7, 0.0, 0.61, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.54, 0.0, 0.0, 359.87, 359.89, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(48064626, [2.0, 0.71, 0.0, 0.61, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.54, 0.0, -0.01, 359.87, 359.89, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(48164635, [2.0, 0.71, 0.0, 0.61, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.55, 0.0, -0.01, 359.87, 359.89, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(48265072, [2.0, 0.71, 0.0, 0.61, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.55, 0.0, 0.0, 359.87, 359.89, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(48364639, [2.0, 0.71, 0.0, 0.61, 0.0, 3.6, 0.0, 2.43, 0.0, 0.0], [0.0, 0.54, 0.0, 0.0, 359.87, 359.89, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(48464703, [2.0, 0.71, 0.0, 0.61, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.55, 0.0, 0.0, 359.87, 359.89, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(48564659, [2.0, 0.7, 0.0, 0.61, 0.0, 3.6, 0.0, 2.42, 0.0, 0.0], [0.0, 0.54, 0.0, 0.0, 359.87, 359.89, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(48664777, [2.0, 0.71, 0.0, 0.61, 0.0, 0.58, 0.0, 2.45, 0.0, 0.0], [0.0, 0.54, 0.0, 0.0, 359.88, 359.9, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(48764670, [2.0, 0.71, 0.0, 0.61, 0.0, 0.58, 0.0, 2.42, 0.0, 0.0], [0.0, 0.54, 0.0, 0.0, 359.88, 359.89, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(48864717, [2.0, 0.71, 0.0, 0.61, 0.0, 3.6, 0.0, 2.43, 0.0, 0.0], [0.0, 0.54, 0.0, 0.0, 359.87, 359.89, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(48964720, [2.0, 0.71, 0.0, 0.61, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.54, 0.0, 0.0, 359.87, 359.89, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(49064724, [2.0, 0.71, 0.0, 0.61, 0.0, 3.6, 0.0, 2.42, 0.0, 0.0], [0.0, 0.54, 0.0, 0.0, 359.9, 359.91, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(49164674, [2.0, 0.71, 0.0, 0.61, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.54, 0.0, 0.0, 359.88, 359.89, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(49264669, [2.0, 0.71, 0.0, 0.61, 0.0, 3.6, 0.0, 2.46, 0.0, 0.0], [0.0, 0.54, 0.0, 0.02, 359.85, 359.86, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(49364773, [2.0, 0.71, 0.0, 0.61, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, 0.55, 0.0, 0.01, 359.87, 359.88, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(49464673, [2.0, 0.71, 0.0, 0.61, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.55, 0.0, 0.01, 359.86, 359.88, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(49564666, [2.0, 0.71, 0.0, 0.61, 0.0, 3.6, 0.0, 2.43, 0.0, 0.0], [0.0, 0.55, 0.0, 0.01, 359.86, 359.88, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(49664636, [2.0, 0.71, 0.0, 0.61, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, 0.56, 0.0, 0.01, 359.87, 359.89, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(49765072, [2.0, 0.71, 0.0, 0.61, 0.0, 0.55, 0.0, 2.44, 0.0, 0.0], [0.0, 0.56, 0.0, 0.01, 359.86, 359.88, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(49864879, [2.0, 0.71, 0.0, 0.61, 0.0, 0.55, 0.0, 2.44, 0.0, 0.0], [0.0, 0.56, 0.0, 0.02, 359.85, 359.87, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(49966509, [2.0, 0.71, 0.0, 0.61, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, 0.56, 0.0, 0.01, 359.86, 359.88, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(50067031, [2.0, 0.71, 0.0, 0.61, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.56, 0.0, 0.01, 359.86, 359.87, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(50166979, [2.0, 0.7, 0.0, 0.61, 0.0, 0.56, 0.0, 2.44, 0.0, 0.0], [0.0, 0.57, 0.0, 0.01, 359.88, 359.9, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(50266546, [2.0, 0.71, 0.0, 0.61, 0.0, 0.56, 0.0, 2.44, 0.0, 0.0], [0.0, 0.57, 0.0, 0.01, 359.86, 359.88, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(50366537, [2.0, 0.71, 0.0, 0.61, 0.0, 3.6, 0.0, 2.43, 0.0, 0.0], [0.0, 0.57, 0.0, 0.0, 359.86, 359.88, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(50466314, [2.0, 0.71, 0.0, 0.61, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.57, 0.0, 0.01, 359.86, 359.87, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(50566366, [2.0, 0.71, 0.0, 0.61, 0.0, 3.6, 0.0, 2.43, 0.0, 0.0], [0.0, 0.56, 0.0, 0.01, 359.87, 359.89, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(50666345, [2.0, 0.71, 0.0, 0.61, 0.0, 3.6, 0.0, 2.43, 0.0, 0.0], [0.0, 0.57, 0.0, 0.0, 359.87, 359.89, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(50766358, [2.0, 0.71, 0.0, 0.61, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, 0.57, 0.0, 0.0, 359.86, 359.88, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(50866473, [2.0, 0.71, 0.0, 0.61, 0.0, 3.6, 0.0, 2.42, 0.0, 0.0], [0.0, 0.56, 0.0, 0.0, 359.86, 359.88, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(50966343, [2.0, 0.7, 0.0, 0.61, 0.0, 3.6, 0.0, 2.43, 0.0, 0.0], [0.0, 0.57, 0.0, -0.01, 359.87, 359.88, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(51066339, [2.0, 0.71, 0.0, 0.61, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.56, 0.0, -0.01, 359.88, 359.89, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(51166387, [2.0, 0.71, 0.0, 0.61, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.57, 0.0, -0.01, 359.87, 359.88, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(51266361, [2.0, 0.71, 0.0, 0.61, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.57, 0.0, -0.02, 359.87, 359.89, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
