(31369107, [2.0, 0.71, 0.0, 0.62, 0.0, 3.6, 0.0, 2.43, 0.0, 0.0], [0.0, 0.77, 0.0, 0.62, 359.87, 359.89, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(31468358, [2.0, 0.71, 0.0, 0.62, 0.0, 3.6, 0.0, 2.43, 0.0, 0.0], [0.0, 0.77, 0.0, 0.62, 359.87, 359.89, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(31568376, [2.0, 0.71, 0.0, 0.61, 0.0, 3.6, 0.0, 2.41, 0.0, 0.0], [0.0, 0.77, 0.0, 0.62, 359.87, 359.89, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(31668309, [2.0, 0.7, 0.0, 0.62, 0.0, 3.6, 0.0, 2.47, 0.0, 0.0], [0.0, 0.77, 0.0, 0.62, 359.87, 359.89, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(31768462, [2.0, 0.71, 0.0, 0.61, 0.0, 0.52, 0.0, 2.47, 0.0, 0.0], [0.0, 0.77, 0.0, 0.62, 359.87, 359.89, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(31868544, [2.0, 0.71, 0.0, 0.61, 0.0, 0.52, 0.0, 2.41, 0.0, 0.0], [0.0, 0.77, 0.0, 0.62, 359.87, 359.89, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(31969879, [2.0, 0.71, 0.0, 0.62, 0.0, 3.6, 0.0, 2.41, 0.0, 0.0], [0.0, 0.77, 0.0, 0.62, 359.87, 359.89, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(32069888, [2.0, 0.71, 0.0, 0.62, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [0.0, 0.77, 0.0, 0.62, 359.86, 359.88, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(32170295, [2.0, 0.71, 0.0, 0.62, 0.0, 3.6, 0.0, 2.49, 0.0, 0.0], [0.0, 0.77, 0.0, 0.63, 359.86, 359.88, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(32269965, [2.0, 0.71, 0.0, 0.61, 0.0, 0.51, 0.0, 2.49, 0.0, 0.0], [0.0, 0.77, 0.0, 0.63, 359.86, 359.88, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(32369967, [2.0, 0.71, 0.0, 0.61, 0.0, 0.51, 0.0, 2.43, 0.0, 0.0], [0.0, 0.77, 0.0, 0.63, 359.85, 359.87, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(32471002, [2.0, 0.71, 0.0, 0.62, 0.0, 3.6, 0.0, 2.43, 0.0, 0.0], [0.0, 0.77, 0.0, 0.63, 359.85, 359.87, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(32570223, [2.0, 0.71, 0.0, 0.62, 0.0, 3.6, 0.0, 2.41, 0.0, 0.0], [0.0, 0.77, 0.0, 0.63, 359.85, 359.87, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(32669952, [2.0, 0.71, 0.0, 0.62, 0.0, 3.6, 0.0, 2.42, 0.0, 0.0], [0.0, 0.78, 0.0, 0.63, 359.85, 359.87, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(32769905, [2.0, 0.71, 0.0, 0.62, 0.0, 0.46, 0.0, 2.46, 0.0, 0.0], [0.0, 0.78, 0.0, 0.63, 359.85, 359.87, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(32870580, [2.0, 0.71, 0.0, 0.61, 0.0, 0.46, 0.0, 2.46, 0.0, 0.0], [0.0, 0.78, 0.0, 0.63, 359.85, 359.87, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(32969926, [2.0, 0.71, 0.0, 0.62, 0.0, 3.6, 0.0, 2.46, 0.0, 0.0], [0.0, 0.78, 0.0, 0.63, 359.85, 359.87, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(33070355, [2.0, 0.71, 0.0, 0.62, 0.0, 0.49, 0.0, 2.46, 0.0, 0.0], [0.0, 0.78, 0.0, 0.63, 359.85, 359.87, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(33169896, [2.0, 0.7, 0.0, 0.62, 0.0, 0.49, 0.0, 2.47, 0.0, 0.0], [0.0, 0.78, 0.0, 0.63, 359.85, 359.87, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(33270286, [2.0, 0.71, 0.0, 0.61, 0.0, 0.5, 0.0, 3.6, 0.0, 0.0], [0.0, 0.78, 0.0, 0.63, 359.85, 359.87, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
