(45040475, [2.0, 0.59, 0.0, 0.57, 0.0, 3.5, 0.0, 2.26, 0.0, 0.0], [0.0, 0.43, 0.0, 0.01, 359.03, 359.05, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(45140754, [2.0, 0.59, 0.0, 0.57, 0.0, 2.58, 0.0, 2.27, 0.0, 0.0], [0.0, 0.43, 0.0, 0.01, 359.03, 359.05, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(45240387, [2.0, 0.59, 0.0, 0.57, 0.0, 2.58, 0.0, 2.26, 0.0, 0.0], [0.0, 0.43, 0.0, 0.01, 359.03, 359.05, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(45340527, [2.0, 0.59, 0.0, 0.57, 0.0, 3.14, 0.0, 2.26, 0.0, 0.0], [0.0, 0.43, 0.0, 0.01, 359.03, 359.04, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(45440621, [2.0, 0.59, 0.0, 0.57, 0.0, 2.35, 0.0, 2.26, 0.0, 0.0], [0.0, 0.42, 0.0, 0.01, 359.03, 359.04, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(45540457, [2.0, 0.59, 0.0, 0.57, 0.0, 2.35, 0.0, 2.27, 0.0, 0.0], [0.0, 0.42, 0.0, 0.01, 359.03, 359.04, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(45640769, [2.0, 0.59, 0.0, 0.57, 0.0, 2.76, 0.0, 2.26, 0.0, 0.0], [0.0, 0.42, 0.0, 0.01, 359.03, 359.04, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(45740488, [2.0, 0.59, 0.0, 0.57, 0.0, 3.22, 0.0, 2.26, 0.0, 0.0], [0.0, 0.42, 0.0, 0.01, 359.03, 359.04, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(45841075, [2.0, 0.59, 0.0, 0.57, 0.0, 2.48, 0.0, 2.26, 0.0, 0.0], [0.0, 0.42, 0.0, 0.01, 359.02, 359.04, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(45940502, [2.0, 0.59, 0.0, 0.57, 0.0, 2.47, 0.0, 2.24, 0.0, 0.0], [0.0, 0.42, 0.0, 0.01, 359.02, 359.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(46041083, [2.0, 0.59, 0.0, 0.57, 0.0, 2.84, 0.0, 2.24, 0.0, 0.0], [0.0, 0.42, 0.0, 0.01, 359.02, 359.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(46140526, [2.0, 0.59, 0.0, 0.57, 0.0, 3.09, 0.0, 2.24, 0.0, 0.0], [0.0, 0.42, 0.0, 0.02, 359.01, 359.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(46240773, [2.0, 0.59, 0.0, 0.57, 0.0, 3.37, 0.0, 2.25, 0.0, 0.0], [0.0, 0.42, 0.0, 0.01, 359.01, 359.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(46340491, [2.0, 0.59, 0.0, 0.57, 0.0, 3.44, 0.0, 2.27, 0.0, 0.0], [0.0, 0.41, 0.0, 0.01, 359.01, 359.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(46440887, [2.0, 0.59, 0.0, 0.57, 0.0, 2.56, 0.0, 2.26, 0.0, 0.0], [0.0, 0.42, 0.0, 0.01, 359.01, 359.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(46540491, [2.0, 0.59, 0.0, 0.57, 0.0, 2.56, 0.0, 2.27, 0.0, 0.0], [0.0, 0.41, 0.0, 0.01, 359.01, 359.02, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(46641126, [2.0, 0.59, 0.0, 0.57, 0.0, 1.94, 0.0, 2.27, 0.0, 0.0], [0.0, 0.41, 0.0, 0.02, 359.0, 359.02, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(46740295, [2.0, 0.59, 0.0, 0.57, 0.0, 1.55, 0.0, 2.28, 0.0, 0.0], [0.0, 0.41, 0.0, 0.02, 359.0, 359.01, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(46841119, [2.0, 0.59, 0.0, 0.57, 0.0, 1.27, 0.0, 2.27, 0.0, 0.0], [0.0, 0.41, 0.0, 0.02, 359.0, 359.01, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(46940563, [2.0, 0.59, 0.0, 0.57, 0.0, 1.27, 0.0, 2.27, 0.0, 0.0], [0.0, 0.4, 0.0, 0.02, 358.99, 359.01, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(47040706, [2.0, 0.59, 0.0, 0.57, 0.0, 1.1, 0.0, 2.26, 0.0, 0.0], [0.0, 0.4, 0.0, 0.02, 358.99, 359.0, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(47140504, [2.0, 0.59, 0.0, 0.57, 0.0, 1.1, 0.0, 2.26, 0.0, 0.0], [0.0, 0.4, 0.0, 0.02, 358.98, 358.99, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(47240620, [2.0, 0.59, 0.0, 0.57, 0.0, 0.97, 0.0, 2.26, 0.0, 0.0], [0.0, 0.41, 0.0, 0.03, 358.97, 358.99, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(47340599, [2.0, 0.59, 0.0, 0.57, 0.0, 0.97, 0.0, 2.26, 0.0, 0.0], [0.0, 0.41, 0.0, 0.04, 358.97, 358.99, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(47441020, [2.0, 0.59, 0.0, 0.57, 0.0, 2.43, 0.0, 2.27, 0.0, 0.0], [0.0, 0.41, 0.0, 0.05, 358.97, 358.99, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(47540455, [2.0, 0.59, 0.0, 0.57, 0.0, 2.82, 0.0, 2.27, 0.0, 0.0], [0.0, 0.41, 0.0, 0.05, 358.97, 358.98, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(47640548, [2.0, 0.59, 0.0, 0.57, 0.0, 3.25, 0.0, 2.26, 0.0, 0.0], [0.0, 0.4, 0.0, 0.04, 358.97, 358.98, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(47740764, [2.0, 0.59, 0.0, 0.57, 0.0, 3.36, 0.0, 2.26, 0.0, 0.0], [0.0, 0.4, 0.0, 0.03, 358.96, 358.98, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(47840760, [2.0, 0.59, 0.0, 0.57, 0.0, 3.49, 0.0, 2.26, 0.0, 0.0], [0.0, 0.4, 0.0, 0.02, 358.96, 358.97, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(47941308, [2.0, 0.59, 0.0, 0.57, 0.0, 2.58, 0.0, 2.26, 0.0, 0.0], [0.0, 0.41, 0.0, 0.02, 358.97, 358.98, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(48040500, [2.0, 0.59, 0.0, 0.57, 0.0, 2.58, 0.0, 2.26, 0.0, 0.0], [0.0, 0.41, 0.0, 0.03, 358.97, 358.98, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(48140787, [2.0, 0.59, 0.0, 0.57, 0.0, 3.14, 0.0, 2.27, 0.0, 0.0], [0.0, 0.4, 0.0, 0.02, 358.95, 358.97, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(48240469, [2.0, 0.59, 0.0, 0.57, 0.0, 3.29, 0.0, 2.26, 0.0, 0.0], [0.0, 0.41, 0.0, 0.02, 358.96, 358.97, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(48340795, [2.0, 0.59, 0.0, 0.57, 0.0, 3.46, 0.0, 2.27, 0.0, 0.0], [0.0, 0.41, 0.0, 0.02, 358.95, 358.96, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(48442811, [2.0, 0.59, 0.0, 0.57, 0.0, 3.5, 0.0, 2.26, 0.0, 0.0], [0.0, 0.41, 0.0, 0.03, 358.94, 358.96, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(48543561, [2.0, 0.59, 0.0, 0.57, 0.0, 3.55, 0.0, 2.26, 0.0, 0.0], [0.0, 0.4, 0.0, 0.02, 358.95, 358.96, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(48642744, [2.0, 0.59, 0.0, 0.57, 0.0, 3.56, 0.0, 2.27, 0.0, 0.0], [0.0, 0.41, 0.0, 0.02, 358.94, 358.95, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(48742715, [2.0, 0.59, 0.0, 0.57, 0.0, 2.62, 0.0, 2.26, 0.0, 0.0], [0.0, 0.42, 0.0, 0.02, 358.93, 358.95, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(48843900, [2.0, 0.59, 0.0, 0.57, 0.0, 2.62, 0.0, 2.26, 0.0, 0.0], [0.0, 0.42, 0.0, 0.02, 358.94, 358.95, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(48944279, [2.0, 0.59, 0.0, 0.57, 0.0, 3.16, 0.0, 2.25, 0.0, 0.0], [0.0, 0.42, 0.0, 0.02, 358.93, 358.94, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(49043810, [2.0, 0.59, 0.0, 0.57, 0.0, 2.34, 0.0, 2.26, 0.0, 0.0], [0.0, 0.42, 0.0, 0.03, 358.94, 358.95, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(49143751, [2.0, 0.59, 0.0, 0.57, 0.0, 2.33, 0.0, 2.27, 0.0, 0.0], [0.0, 0.43, 0.0, 0.02, 358.93, 358.94, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(49244013, [2.0, 0.59, 0.0, 0.56, 0.0, 3.03, 0.0, 2.26, 0.0, 0.0], [0.0, 0.43, 0.0, 0.03, 358.93, 358.94, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(49344444, [2.0, 0.59, 0.0, 0.56, 0.0, 3.22, 0.0, 2.26, 0.0, 0.0], [0.0, 0.43, 0.0, 0.02, 358.93, 358.95, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(49443910, [2.0, 0.59, 0.0, 0.56, 0.0, 3.42, 0.0, 2.26, 0.0, 0.0], [0.0, 0.44, 0.0, 0.02, 358.93, 358.94, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(49544547, [2.0, 0.59, 0.0, 0.56, 0.0, 3.48, 0.0, 2.26, 0.0, 0.0], [0.0, 0.44, 0.0, 0.03, 358.93, 358.94, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(49644701, [2.0, 0.59, 0.0, 0.56, 0.0, 3.54, 0.0, 2.27, 0.0, 0.0], [0.0, 0.45, 0.0, 0.02, 358.92, 358.94, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(49743842, [2.0, 0.59, 0.0, 0.56, 0.0, 3.56, 0.0, 2.26, 0.0, 0.0], [0.0, 0.45, 0.0, 0.03, 358.93, 358.94, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(49844079, [2.0, 0.59, 0.0, 0.56, 0.0, 3.58, 0.0, 2.27, 0.0, 0.0], [0.0, 0.46, 0.0, 0.03, 358.92, 358.94, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(49943837, [2.0, 0.59, 0.0, 0.56, 0.0, 3.58, 0.0, 2.26, 0.0, 0.0], [0.0, 0.46, 0.0, 0.02, 358.92, 358.93, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(50043859, [2.0, 0.59, 0.0, 0.56, 0.0, 3.58, 0.0, 2.26, 0.0, 0.0], [0.0, 0.45, 0.0, 0.0, 358.92, 358.9, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(50143827, [2.0, 0.59, 0.0, 0.56, 0.0, 3.58, 0.0, 2.26, 0.0, 0.0], [0.0, 0.47, 0.0, 0.0, 358.92, 358.9, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(50244347, [2.0, 0.59, 0.0, 0.56, 0.0, 3.58, 0.0, 2.26, 0.0, 0.0], [0.0, 0.44, 0.0, -0.09, 358.92, 358.85, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(50343811, [2.0, 0.59, 0.0, 0.56, 0.0, 3.58, 0.0, 2.26, 0.0, 0.0], [0.0, 0.38, 0.0, -0.86, 358.92, 358.76, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(50444143, [2.0, 0.58, 0.0, 0.56, 0.0, 3.58, 0.0, 2.27, 0.0, 0.0], [0.0, 0.42, 0.0, -4.17, 358.92, 358.51, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(50543842, [2.0, 0.58, 0.0, 0.56, 0.0, 2.63, 0.0, 2.27, 0.0, 0.0], [-1.37, -0.4, 0.71, -7.11, 358.92, 358.36, 0.01, 1.0], [0.2, 25.0, 0.0, 0.0])
(50644208, [2.0, 0.56, 0.0, 0.56, 0.0, 2.63, 0.0, 2.26, 0.0, 0.0], [-2.58, -2.38, 1.39, -7.03, 358.92, 358.45, 0.01, 1.0], [0.2, 25.0, 0.0, 0.0])
(50743765, [2.0, 0.54, 0.0, 0.57, 0.0, 2.95, 0.0, 2.26, 0.0, 0.0], [-3.14, -2.83, 1.8, -6.57, 358.92, 358.64, 0.03, 1.0], [0.2, 25.0, 0.0, 0.0])
(50843807, [2.0, 0.5, 0.0, 0.58, 0.0, 3.3, 0.0, 2.54, 0.0, 0.0], [-3.77, -3.35, 2.02, -5.97, 358.92, 358.79, 0.03, 1.0], [0.2, 25.0, 0.0, 0.0])
(50944059, [2.0, 0.48, 0.0, 0.6, 0.0, 3.4, 0.0, 2.54, 0.0, 0.0], [-3.64, -3.22, 2.22, -5.44, 358.92, 359.2, 0.05, 1.0], [0.2, 25.0, 0.0, 0.0])
