(20225572, [2.0, 0.54, 0.0, 0.41, 0.0, 3.59, 0.0, 2.58, 0.0, 0.0], [0.0, -0.08, 0.0, -0.62, 359.88, 359.89, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(20327779, [2.0, 0.54, 0.0, 0.41, 0.0, 1.67, 0.0, 2.58, 0.0, 0.0], [0.0, -0.08, 0.0, -0.61, 359.87, 359.88, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(20428821, [2.0, 0.54, 0.0, 0.41, 0.0, 1.67, 0.0, 2.55, 0.0, 0.0], [0.0, -0.08, 0.0, -0.62, 359.87, 359.88, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(20537081, [2.0, 0.54, 0.0, 0.41, 0.0, 3.42, 0.0, 2.55, 0.0, 0.0], [0.0, -0.08, 0.0, -0.61, 359.87, 359.88, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(20635677, [2.0, 0.54, 0.0, 0.41, 0.0, 3.54, 0.0, 2.57, 0.0, 0.0], [0.0, -0.08, 0.0, -0.61, 359.88, 359.89, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(20735616, [2.0, 0.54, 0.0, 0.41, 0.0, 3.59, 0.0, 2.56, 0.0, 0.0], [0.0, -0.08, 0.0, -0.61, 359.86, 359.87, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(20835839, [2.0, 0.54, 0.0, 0.41, 0.0, 3.59, 0.0, 2.54, 0.0, 0.0], [0.0, -0.08, 0.0, -0.61, 359.87, 359.87, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(20935932, [2.0, 0.54, 0.0, 0.41, 0.0, 3.59, 0.0, 2.56, 0.0, 0.0], [0.0, -0.08, 0.0, -0.61, 359.86, 359.87, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(21035607, [2.0, 0.54, 0.0, 0.41, 0.0, 3.59, 0.0, 2.57, 0.0, 0.0], [0.0, -0.07, 0.0, -0.61, 359.85, 359.86, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(21137586, [2.0, 0.54, 0.0, 0.41, 0.0, 3.59, 0.0, 2.56, 0.0, 0.0], [0.0, -0.06, 0.0, -0.6, 359.86, 359.87, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
