(20091526, [2.0, 0.56, 0.0, 0.63, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, 0.75, 0.0, 0.6, 0.03, 0.04, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(20191352, [2.0, 0.56, 0.0, 0.64, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, 0.75, 0.0, 0.6, 0.03, 0.04, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(20291445, [2.0, 0.56, 0.0, 0.64, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, 0.75, 0.0, 0.59, 0.03, 0.04, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(20391345, [2.0, 0.56, 0.0, 0.63, 0.0, 3.6, 0.0, 2.46, 0.0, 0.0], [0.0, 0.75, 0.0, 0.59, 0.03, 0.04, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(20491370, [2.0, 0.56, 0.0, 0.64, 0.0, 3.6, 0.0, 2.46, 0.0, 0.0], [0.0, 0.75, 0.0, 0.6, 0.03, 0.04, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(20591296, [2.0, 0.56, 0.0, 0.63, 0.0, 3.6, 0.0, 2.47, 0.0, 0.0], [0.0, 0.75, 0.0, 0.6, 0.03, 0.04, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(20692306, [2.0, 0.56, 0.0, 0.63, 0.0, 3.6, 0.0, 2.46, 0.0, 0.0], [0.0, 0.75, 0.0, 0.6, 0.03, 0.04, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(20792800, [2.0, 0.56, 0.0, 0.63, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, 0.75, 0.0, 0.6, 0.03, 0.04, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(20891529, [2.0, 0.56, 0.0, 0.64, 0.0, 3.6, 0.0, 2.48, 0.0, 0.0], [0.0, 0.75, 0.0, 0.6, 0.04, 0.05, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(20991593, [2.0, 0.56, 0.0, 0.63, 0.0, 3.6, 0.0, 2.46, 0.0, 0.0], [0.0, 0.75, 0.0, 0.6, 0.04, 0.05, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(21091394, [2.0, 0.56, 0.0, 0.64, 0.0, 3.6, 0.0, 2.47, 0.0, 0.0], [0.0, 0.75, 0.0, 0.6, 0.04, 0.05, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
