(30581013, [2.0, 0.62, 0.0, 0.89, 0.0, 3.6, 0.0, 2.15, 0.0, 0.0], [0.0, -0.2, 0.0, 0.25, 141.65, 141.64, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(30682927, [2.0, 0.62, 0.0, 0.88, 0.0, 0.58, 0.0, 2.15, 0.0, 0.0], [0.0, -0.2, 0.0, 0.25, 141.8, 141.79, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(30782758, [2.0, 0.62, 0.0, 0.88, 0.0, 0.58, 0.0, 2.15, 0.0, 0.0], [0.0, -0.2, 0.0, 0.25, 141.95, 141.95, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(30882830, [2.0, 0.62, 0.0, 0.89, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [0.0, -0.2, 0.0, 0.25, 142.11, 142.1, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(30982742, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.17, 0.0, 0.0], [0.0, -0.2, 0.0, 0.25, 142.26, 142.25, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(31082747, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [0.0, -0.2, 0.0, 0.25, 142.41, 142.41, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(31182721, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [0.0, -0.2, 0.0, 0.25, 142.57, 142.56, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(31282686, [2.0, 0.62, 0.0, 0.88, 0.0, 0.61, 0.0, 2.17, 0.0, 0.0], [0.0, -0.2, 0.0, 0.26, 142.72, 142.72, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(31384044, [2.0, 0.62, 0.0, 0.88, 0.0, 0.61, 0.0, 2.16, 0.0, 0.0], [0.0, -0.2, 0.0, 0.27, 142.87, 142.87, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(31483144, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [0.0, -0.2, 0.0, 0.27, 143.03, 143.02, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(31587731, [2.0, 0.61, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [0.0, -0.2, 0.0, 0.27, 143.19, 143.18, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(31687509, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [0.0, -0.2, 0.0, 0.27, 143.35, 143.34, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(31788591, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.15, 0.0, 0.0], [0.0, -0.2, 0.0, 0.27, 143.5, 143.5, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(31889723, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [0.0, -0.2, 0.0, 0.28, 143.66, 143.65, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(32002226, [2.0, 0.62, 0.0, 0.88, 0.0, 0.61, 0.0, 2.16, 0.0, 0.0], [0.0, -0.2, 0.0, 0.28, 143.83, 143.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(32104136, [2.0, 0.62, 0.0, 0.88, 0.0, 0.61, 0.0, 2.16, 0.0, 0.0], [0.0, -0.2, 0.0, 0.29, 143.99, 143.98, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
