(35188079, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, 0.8, 0.0, 0.79, 0.18, 0.19, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(35288543, [2.0, 0.58, 0.0, 0.61, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, 0.8, 0.0, 0.79, 0.17, 0.18, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(35388270, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.42, 0.0, 0.0], [0.0, 0.8, 0.0, 0.78, 0.17, 0.18, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(35488529, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, 0.8, 0.0, 0.78, 0.17, 0.18, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(35588269, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, 0.79, 0.0, 0.78, 0.18, 0.19, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(35687989, [2.0, 0.58, 0.0, 0.61, 0.0, 3.6, 0.0, 2.46, 0.0, 0.0], [0.0, 0.8, 0.0, 0.78, 0.18, 0.19, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(35787892, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, 0.8, 0.0, 0.78, 0.17, 0.19, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(35889308, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.49, 0.0, 0.0], [0.0, 0.8, 0.0, 0.78, 0.18, 0.19, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(35987982, [2.0, 0.58, 0.0, 0.61, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.8, 0.0, 0.77, 0.18, 0.19, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(36088271, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.43, 0.0, 0.0], [0.0, 0.8, 0.0, 0.77, 0.18, 0.19, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(36187967, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.43, 0.0, 0.0], [0.0, 0.8, 0.0, 0.77, 0.18, 0.19, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(36288247, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.47, 0.0, 0.0], [0.0, 0.8, 0.0, 0.77, 0.18, 0.19, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(36388209, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.41, 0.0, 0.0], [0.0, 0.8, 0.0, 0.77, 0.18, 0.19, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(36488216, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.43, 0.0, 0.0], [0.0, 0.8, 0.0, 0.77, 0.18, 0.19, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(36588389, [2.0, 0.58, 0.0, 0.61, 0.0, 3.6, 0.0, 2.43, 0.0, 0.0], [0.0, 0.8, 0.0, 0.77, 0.18, 0.19, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(36688263, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, 0.8, 0.0, 0.77, 0.18, 0.19, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
