(15147386, [2.0, 0.73, 0.0, 0.7, 0.0, 3.6, 0.0, 2.37, 0.0, 0.0], [0.0, 0.89, 0.0, 0.55, 0.04, 0.06, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(15246933, [2.0, 0.73, 0.0, 0.7, 0.0, 3.6, 0.0, 2.37, 0.0, 0.0], [0.0, 0.89, 0.0, 0.55, 0.04, 0.06, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(15347331, [2.0, 0.74, 0.0, 0.71, 0.0, 3.6, 0.0, 2.34, 0.0, 0.0], [0.0, 0.89, 0.0, 0.55, 0.05, 0.06, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(15446897, [2.0, 0.73, 0.0, 0.7, 0.0, 3.6, 0.0, 2.36, 0.0, 0.0], [0.0, 0.89, 0.0, 0.55, 0.05, 0.06, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(15547335, [2.0, 0.74, 0.0, 0.71, 0.0, 3.6, 0.0, 2.33, 0.0, 0.0], [0.0, 0.89, 0.0, 0.55, 0.04, 0.05, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(15647015, [2.0, 0.73, 0.0, 0.71, 0.0, 3.6, 0.0, 2.36, 0.0, 0.0], [0.0, 0.89, 0.0, 0.55, 0.04, 0.05, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(15748075, [2.0, 0.73, 0.0, 0.7, 0.0, 3.6, 0.0, 2.37, 0.0, 0.0], [0.0, 0.89, 0.0, 0.55, 0.04, 0.05, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(15846956, [2.0, 0.73, 0.0, 0.7, 0.0, 3.6, 0.0, 2.35, 0.0, 0.0], [0.0, 0.89, 0.0, 0.55, 0.04, 0.05, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(15947080, [2.0, 0.74, 0.0, 0.7, 0.0, 3.6, 0.0, 2.37, 0.0, 0.0], [0.0, 0.88, 0.0, 0.55, 0.04, 0.05, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(16046944, [2.0, 0.73, 0.0, 0.7, 0.0, 3.6, 0.0, 2.36, 0.0, 0.0], [0.0, 0.88, 0.0, 0.54, 0.04, 0.05, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(16147145, [2.0, 0.74, 0.0, 0.71, 0.0, 3.6, 0.0, 2.35, 0.0, 0.0], [0.0, 0.88, 0.0, 0.54, 0.04, 0.06, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(16246969, [2.0, 0.73, 0.0, 0.7, 0.0, 3.6, 0.0, 2.38, 0.0, 0.0], [0.0, 0.88, 0.0, 0.55, 0.04, 0.06, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(16346725, [2.0, 0.74, 0.0, 0.71, 0.0, 0.49, 0.0, 2.33, 0.0, 0.0], [0.0, 0.88, 0.0, 0.55, 0.04, 0.06, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(16447087, [2.0, 0.73, 0.0, 0.71, 0.0, 0.49, 0.0, 2.36, 0.0, 0.0], [0.0, 0.88, 0.0, 0.55, 0.04, 0.06, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
