(18372275, [2.0, 0.64, 0.0, 0.55, 0.0, 0.89, 0.0, 2.54, 0.0, 0.0], [0.0, 0.52, 0.0, 0.68, 359.97, 359.99, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18572597, [2.0, 0.64, 0.0, 0.55, 0.0, 0.85, 0.0, 2.5, 0.0, 0.0], [0.0, 0.52, 0.0, 0.68, 359.96, 359.98, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18672226, [2.0, 0.64, 0.0, 0.55, 0.0, 0.83, 0.0, 2.5, 0.0, 0.0], [0.0, 0.53, 0.0, 0.68, 359.96, 359.98, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18772417, [2.0, 0.64, 0.0, 0.55, 0.0, 0.83, 0.0, 2.51, 0.0, 0.0], [0.0, 0.52, 0.0, 0.68, 359.96, 359.98, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18877303, [2.0, 0.64, 0.0, 0.55, 0.0, 0.84, 0.0, 2.53, 0.0, 0.0], [0.0, 0.53, 0.0, 0.67, 359.96, 359.98, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18977421, [2.0, 0.64, 0.0, 0.55, 0.0, 0.84, 0.0, 2.51, 0.0, 0.0], [0.0, 0.53, 0.0, 0.67, 359.97, 359.98, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(19077542, [2.0, 0.64, 0.0, 0.55, 0.0, 0.87, 0.0, 2.51, 0.0, 0.0], [0.0, 0.53, 0.0, 0.66, 359.97, 359.99, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(19177786, [2.0, 0.64, 0.0, 0.55, 0.0, 0.85, 0.0, 2.51, 0.0, 0.0], [0.0, 0.53, 0.0, 0.66, 359.97, 359.99, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(19277768, [2.0, 0.64, 0.0, 0.55, 0.0, 0.83, 0.0, 2.51, 0.0, 0.0], [0.0, 0.53, 0.0, 0.66, 359.97, 359.99, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(19378003, [2.0, 0.64, 0.0, 0.55, 0.0, 0.85, 0.0, 2.51, 0.0, 0.0], [0.0, 0.53, 0.0, 0.66, 359.97, 359.99, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(19477701, [2.0, 0.64, 0.0, 0.55, 0.0, 0.86, 0.0, 2.52, 0.0, 0.0], [0.0, 0.53, 0.0, 0.66, 359.97, 359.99, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(19578364, [2.0, 0.64, 0.0, 0.55, 0.0, 0.84, 0.0, 2.53, 0.0, 0.0], [0.0, 0.53, 0.0, 0.66, 359.97, 359.99, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(19677730, [2.0, 0.64, 0.0, 0.55, 0.0, 0.84, 0.0, 2.53, 0.0, 0.0], [0.0, 0.53, 0.0, 0.66, 359.97, 359.99, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(19778134, [2.0, 0.64, 0.0, 0.55, 0.0, 0.84, 0.0, 2.53, 0.0, 0.0], [0.0, 0.53, 0.0, 0.66, 359.97, 359.99, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(19878419, [2.0, 0.64, 0.0, 0.55, 0.0, 0.84, 0.0, 2.55, 0.0, 0.0], [0.0, 0.53, 0.0, 0.65, 359.98, 359.99, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(19978041, [2.0, 0.64, 0.0, 0.55, 0.0, 0.84, 0.0, 2.5, 0.0, 0.0], [0.0, 0.53, 0.0, 0.65, 359.98, 359.99, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(20077468, [2.0, 0.64, 0.0, 0.55, 0.0, 0.84, 0.0, 2.54, 0.0, 0.0], [0.0, 0.53, 0.0, 0.65, 359.97, 359.99, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(20178437, [2.0, 0.64, 0.0, 0.55, 0.0, 0.85, 0.0, 2.54, 0.0, 0.0], [0.0, 0.53, 0.0, 0.65, 359.98, 359.99, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
