(262783534, [2.0, 0.72, 0.0, 0.56, 0.0, 3.57, 0.0, 2.39, 0.0, 0.0], [0.0, 0.52, 0.0, -0.56, 12.97, 12.98, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(262883388, [2.0, 0.72, 0.0, 0.56, 0.0, 3.59, 0.0, 2.39, 0.0, 0.0], [0.0, 0.52, 0.0, -0.56, 12.96, 12.97, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(262983512, [2.0, 0.72, 0.0, 0.56, 0.0, 3.59, 0.0, 2.4, 0.0, 0.0], [0.0, 0.52, 0.0, -0.56, 12.96, 12.97, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(263083481, [2.0, 0.72, 0.0, 0.56, 0.0, 3.59, 0.0, 2.4, 0.0, 0.0], [0.0, 0.51, 0.0, -0.56, 12.96, 12.97, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(263183670, [2.0, 0.72, 0.0, 0.56, 0.0, 3.59, 0.0, 2.4, 0.0, 0.0], [0.0, 0.51, 0.0, -0.56, 12.96, 12.97, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(263283513, [2.0, 0.72, 0.0, 0.56, 0.0, 3.59, 0.0, 2.4, 0.0, 0.0], [0.0, 0.51, 0.0, -0.57, 12.96, 12.97, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(263383543, [2.0, 0.72, 0.0, 0.56, 0.0, 3.59, 0.0, 2.4, 0.0, 0.0], [0.0, 0.5, 0.0, -0.57, 12.96, 12.97, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(263483580, [2.0, 0.72, 0.0, 0.56, 0.0, 3.59, 0.0, 2.4, 0.0, 0.0], [0.0, 0.5, 0.0, -0.57, 12.96, 12.97, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(263583558, [2.0, 0.72, 0.0, 0.56, 0.0, 3.59, 0.0, 2.4, 0.0, 0.0], [0.0, 0.5, 0.0, -0.57, 12.96, 12.97, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(263685296, [2.0, 0.72, 0.0, 0.56, 0.0, 3.59, 0.0, 2.4, 0.0, 0.0], [0.0, 0.5, 0.0, -0.57, 12.96, 12.97, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(263785282, [2.0, 0.72, 0.0, 0.56, 0.0, 3.59, 0.0, 2.4, 0.0, 0.0], [0.0, 0.5, 0.0, -0.57, 12.96, 12.97, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
