(104469673, [2.0, 0.78, 0.0, 1.29, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.78, 0.0, 1.16, 159.19, 159.18, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(104569746, [2.0, 0.78, 0.0, 1.31, 0.0, 3.6, 0.0, 1.15, 0.0, 0.0], [0.0, -0.78, 0.0, 1.17, 159.18, 159.17, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(104669698, [2.0, 0.78, 0.0, 1.3, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.79, 0.0, 1.17, 159.16, 159.15, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(104769876, [2.0, 0.78, 0.0, 1.3, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.78, 0.0, 1.17, 159.15, 159.14, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(104869577, [2.0, 0.78, 0.0, 1.3, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.78, 0.0, 1.17, 159.13, 159.12, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(104969719, [2.0, 0.78, 0.0, 1.3, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.78, 0.0, 1.17, 159.11, 159.11, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(105069882, [2.0, 0.78, 0.0, 1.3, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.78, 0.0, 1.17, 159.1, 159.09, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(105170019, [2.0, 0.78, 0.0, 1.29, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.78, 0.0, 1.17, 159.08, 159.08, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(105269729, [2.0, 0.78, 0.0, 1.3, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.78, 0.0, 1.17, 159.07, 159.06, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(105370038, [2.0, 0.78, 0.0, 1.31, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.77, 0.0, 1.18, 159.06, 159.05, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(105469850, [2.0, 0.78, 0.0, 1.3, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.77, 0.0, 1.18, 159.04, 159.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(105569845, [2.0, 0.79, 0.0, 1.3, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.77, 0.0, 1.18, 159.03, 159.02, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(105669725, [2.0, 0.78, 0.0, 1.29, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.77, 0.0, 1.18, 159.01, 159.0, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(105769874, [2.0, 0.79, 0.0, 1.3, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.77, 0.0, 1.19, 159.0, 158.99, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(105869849, [2.0, 0.78, 0.0, 1.3, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.77, 0.0, 1.19, 158.98, 158.97, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(105969915, [2.0, 0.78, 0.0, 1.3, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.77, 0.0, 1.19, 158.97, 158.96, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(106069721, [2.0, 0.78, 0.0, 1.29, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.77, 0.0, 1.18, 158.95, 158.94, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(106170091, [2.0, 0.78, 0.0, 1.3, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.77, 0.0, 1.19, 158.93, 158.92, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(106269878, [2.0, 0.78, 0.0, 1.29, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.77, 0.0, 1.19, 158.91, 158.91, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(106370493, [2.0, 0.78, 0.0, 1.29, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.77, 0.0, 1.19, 158.9, 158.89, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(106470361, [2.0, 0.78, 0.0, 1.29, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.77, 0.0, 1.2, 158.88, 158.87, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(106569867, [2.0, 0.78, 0.0, 1.29, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.77, 0.0, 1.19, 158.87, 158.86, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(106669921, [2.0, 0.78, 0.0, 1.3, 0.0, 3.6, 0.0, 1.15, 0.0, 0.0], [0.0, -0.77, 0.0, 1.21, 158.83, 158.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(106769869, [2.0, 0.78, 0.0, 1.3, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.76, 0.0, 1.21, 158.85, 158.84, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(106869917, [2.0, 0.79, 0.0, 1.29, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.75, 0.0, 1.21, 158.84, 158.83, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(106969592, [2.0, 0.78, 0.0, 1.29, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.75, 0.0, 1.22, 158.82, 158.81, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(107069969, [2.0, 0.78, 0.0, 1.3, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.74, 0.0, 1.23, 158.78, 158.78, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(107169676, [2.0, 0.78, 0.0, 1.3, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.75, 0.0, 1.23, 158.76, 158.76, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(107269940, [2.0, 0.78, 0.0, 1.29, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.75, 0.0, 1.23, 158.76, 158.75, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(107369839, [2.0, 0.78, 0.0, 1.29, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.75, 0.0, 1.24, 158.74, 158.73, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(107470355, [2.0, 0.78, 0.0, 1.3, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.75, 0.0, 1.24, 158.72, 158.72, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(107569648, [2.0, 0.78, 0.0, 1.3, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.74, 0.0, 1.23, 158.71, 158.71, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(107669997, [2.0, 0.79, 0.0, 1.31, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.74, 0.0, 1.23, 158.7, 158.7, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(107769656, [2.0, 0.78, 0.0, 1.29, 0.0, 3.6, 0.0, 1.15, 0.0, 0.0], [0.0, -0.73, 0.0, 1.23, 158.69, 158.68, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(107870015, [2.0, 0.78, 0.0, 1.29, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.73, 0.0, 1.23, 158.67, 158.67, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(107969719, [2.0, 0.78, 0.0, 1.3, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.73, 0.0, 1.23, 158.66, 158.65, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(108069849, [2.0, 0.78, 0.0, 1.3, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.72, 0.0, 1.24, 158.64, 158.64, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(108169720, [2.0, 0.78, 0.0, 1.29, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.72, 0.0, 1.23, 158.62, 158.62, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(108269883, [2.0, 0.78, 0.0, 1.3, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.71, 0.0, 1.24, 158.61, 158.6, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(108369702, [2.0, 0.78, 0.0, 1.3, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.71, 0.0, 1.24, 158.59, 158.58, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(108469819, [2.0, 0.78, 0.0, 1.3, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.71, 0.0, 1.24, 158.57, 158.56, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(108569840, [2.0, 0.78, 0.0, 1.3, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.7, 0.0, 1.24, 158.55, 158.55, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(108669655, [2.0, 0.78, 0.0, 1.29, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.7, 0.0, 1.24, 158.55, 158.54, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(108770017, [2.0, 0.78, 0.0, 1.29, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.7, 0.0, 1.24, 158.53, 158.52, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(108869680, [2.0, 0.78, 0.0, 1.3, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.69, 0.0, 1.24, 158.53, 158.52, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(108969689, [2.0, 0.78, 0.0, 1.3, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.68, 0.0, 1.24, 158.51, 158.5, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(109069734, [2.0, 0.78, 0.0, 1.3, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.68, 0.0, 1.24, 158.5, 158.49, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(109169950, [2.0, 0.78, 0.0, 1.31, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.68, 0.0, 1.24, 158.47, 158.47, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(109269581, [2.0, 0.78, 0.0, 1.32, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.68, 0.0, 1.24, 158.46, 158.45, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(109369997, [2.0, 0.78, 0.0, 1.32, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.67, 0.0, 1.24, 158.44, 158.44, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(109469693, [2.0, 0.78, 0.0, 1.32, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.69, 0.0, 1.27, 158.43, 158.44, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(109570455, [2.0, 0.78, 0.0, 1.33, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.67, 0.0, 1.23, 158.43, 158.45, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(109669835, [2.0, 0.79, 0.0, 1.33, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.65, 0.0, 1.23, 158.43, 158.48, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(109769994, [2.0, 0.78, 0.0, 1.33, 0.0, 3.6, 0.0, 1.14, 0.0, 0.0], [0.0, -0.74, 0.0, 0.75, 158.43, 158.87, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(109870065, [2.0, 0.78, 0.0, 1.33, 0.0, 3.6, 0.0, 1.13, 0.0, 0.0], [0.0, -1.8, 0.0, -1.28, 158.43, 159.75, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(109969924, [2.0, 0.78, 0.0, 1.37, 0.0, 3.6, 0.0, 1.1, 0.0, 0.0], [0.07, -2.61, 0.3, -2.61, 158.43, 160.69, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(110069877, [2.0, 0.78, 0.0, 1.4, 0.0, 3.6, 0.0, 1.1, 0.0, 0.0], [0.32, -2.17, 1.38, -0.64, 158.43, 161.31, 0.01, 1.0], [0.2, 25.0, 0.0, 0.0])
(110169725, [2.0, 0.76, 0.0, 1.4, 0.0, 3.6, 0.0, 1.07, 0.0, 0.0], [0.46, -1.92, 1.92, 0.65, 158.43, 161.76, 0.01, 1.0], [0.2, 25.0, 0.0, 0.0])
