(40510484, [2.0, 0.56, 0.0, 0.59, 0.0, 2.6, 0.0, 2.23, 0.0, 0.0], [0.0, 0.45, 0.0, 0.13, 359.43, 359.44, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(40612358, [2.0, 0.56, 0.0, 0.59, 0.0, 2.93, 0.0, 2.23, 0.0, 0.0], [0.0, 0.45, 0.0, 0.13, 359.43, 359.44, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(40712396, [2.0, 0.56, 0.0, 0.59, 0.0, 2.24, 0.0, 2.23, 0.0, 0.0], [0.0, 0.45, 0.0, 0.12, 359.42, 359.44, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(40812449, [2.0, 0.56, 0.0, 0.59, 0.0, 2.69, 0.0, 2.23, 0.0, 0.0], [0.0, 0.45, 0.0, 0.12, 359.42, 359.43, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(40916523, [2.0, 0.56, 0.0, 0.59, 0.0, 2.99, 0.0, 2.24, 0.0, 0.0], [0.0, 0.44, 0.0, 0.12, 359.42, 359.43, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(41014971, [2.0, 0.56, 0.0, 0.59, 0.0, 3.32, 0.0, 2.22, 0.0, 0.0], [0.0, 0.44, 0.0, 0.12, 359.41, 359.43, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(41115311, [2.0, 0.56, 0.0, 0.59, 0.0, 2.48, 0.0, 2.21, 0.0, 0.0], [0.0, 0.44, 0.0, 0.12, 359.41, 359.43, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(41214923, [2.0, 0.56, 0.0, 0.59, 0.0, 1.93, 0.0, 2.21, 0.0, 0.0], [0.0, 0.44, 0.0, 0.12, 359.41, 359.42, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(41314877, [2.0, 0.56, 0.0, 0.59, 0.0, 1.92, 0.0, 2.22, 0.0, 0.0], [0.0, 0.44, 0.0, 0.11, 359.41, 359.42, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(41416022, [2.0, 0.56, 0.0, 0.59, 0.0, 2.48, 0.0, 2.22, 0.0, 0.0], [0.0, 0.44, 0.0, 0.11, 359.4, 359.42, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(41516063, [2.0, 0.56, 0.0, 0.59, 0.0, 2.85, 0.0, 2.22, 0.0, 0.0], [0.0, 0.44, 0.0, 0.11, 359.4, 359.42, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(41615987, [2.0, 0.56, 0.0, 0.59, 0.0, 2.36, 0.0, 2.23, 0.0, 0.0], [0.0, 0.44, 0.0, 0.11, 359.4, 359.42, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(41715772, [2.0, 0.56, 0.0, 0.59, 0.0, 2.36, 0.0, 2.23, 0.0, 0.0], [0.0, 0.44, 0.0, 0.11, 359.4, 359.42, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(41815977, [2.0, 0.56, 0.0, 0.59, 0.0, 1.87, 0.0, 2.23, 0.0, 0.0], [0.0, 0.44, 0.0, 0.1, 359.4, 359.42, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(41916088, [2.0, 0.56, 0.0, 0.59, 0.0, 1.54, 0.0, 2.23, 0.0, 0.0], [0.0, 0.44, 0.0, 0.11, 359.4, 359.41, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(42016655, [2.0, 0.56, 0.0, 0.59, 0.0, 1.32, 0.0, 2.23, 0.0, 0.0], [0.0, 0.43, 0.0, 0.11, 359.4, 359.41, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(42115675, [2.0, 0.56, 0.0, 0.59, 0.0, 1.32, 0.0, 2.23, 0.0, 0.0], [0.0, 0.43, 0.0, 0.11, 359.4, 359.41, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(42216306, [2.0, 0.56, 0.0, 0.59, 0.0, 1.18, 0.0, 2.24, 0.0, 0.0], [0.0, 0.44, 0.0, 0.11, 359.39, 359.41, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(42315795, [2.0, 0.56, 0.0, 0.59, 0.0, 1.18, 0.0, 2.24, 0.0, 0.0], [0.0, 0.44, 0.0, 0.11, 359.39, 359.4, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(42417321, [2.0, 0.56, 0.0, 0.59, 0.0, 1.61, 0.0, 2.24, 0.0, 0.0], [0.0, 0.44, 0.0, 0.11, 359.39, 359.41, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(42516623, [2.0, 0.56, 0.0, 0.59, 0.0, 1.61, 0.0, 2.23, 0.0, 0.0], [0.0, 0.43, 0.0, 0.11, 359.39, 359.4, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(42615977, [2.0, 0.56, 0.0, 0.59, 0.0, 2.27, 0.0, 2.24, 0.0, 0.0], [0.0, 0.43, 0.0, 0.11, 359.38, 359.4, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(42716125, [2.0, 0.56, 0.0, 0.59, 0.0, 1.53, 0.0, 2.24, 0.0, 0.0], [0.0, 0.43, 0.0, 0.11, 359.38, 359.39, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(42815996, [2.0, 0.56, 0.0, 0.59, 0.0, 1.53, 0.0, 2.24, 0.0, 0.0], [0.0, 0.43, 0.0, 0.11, 359.38, 359.39, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(42916034, [2.0, 0.56, 0.0, 0.59, 0.0, 2.22, 0.0, 2.24, 0.0, 0.0], [0.0, 0.43, 0.0, 0.11, 359.37, 359.39, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(43016013, [2.0, 0.56, 0.0, 0.59, 0.0, 2.68, 0.0, 2.24, 0.0, 0.0], [0.0, 0.43, 0.0, 0.11, 359.37, 359.38, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(43118231, [2.0, 0.56, 0.0, 0.59, 0.0, 3.18, 0.0, 2.24, 0.0, 0.0], [0.0, 0.43, 0.0, 0.11, 359.37, 359.38, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(43217233, [2.0, 0.56, 0.0, 0.59, 0.0, 3.32, 0.0, 2.24, 0.0, 0.0], [0.0, 0.43, 0.0, 0.11, 359.37, 359.38, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(43317292, [2.0, 0.56, 0.0, 0.59, 0.0, 2.58, 0.0, 2.24, 0.0, 0.0], [0.0, 0.43, 0.0, 0.11, 359.37, 359.38, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(43417274, [2.0, 0.56, 0.0, 0.59, 0.0, 2.58, 0.0, 2.24, 0.0, 0.0], [0.0, 0.43, 0.0, 0.12, 359.37, 359.38, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
