(208638357, [2.0, 0.72, 0.0, 0.58, 0.0, 3.6, 0.0, 2.47, 0.0, 0.0], [0.0, 0.82, 0.0, 0.37, 97.76, 97.77, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(208738494, [2.0, 0.72, 0.0, 0.58, 0.0, 0.56, 0.0, 2.47, 0.0, 0.0], [0.0, 0.82, 0.0, 0.37, 97.76, 97.77, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(208838427, [2.0, 0.72, 0.0, 0.58, 0.0, 0.56, 0.0, 2.49, 0.0, 0.0], [0.0, 0.82, 0.0, 0.38, 97.76, 97.78, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(208938458, [2.0, 0.72, 0.0, 0.58, 0.0, 3.6, 0.0, 2.48, 0.0, 0.0], [0.0, 0.82, 0.0, 0.38, 97.77, 97.78, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(209038995, [2.0, 0.72, 0.0, 0.58, 0.0, 0.54, 0.0, 2.47, 0.0, 0.0], [0.0, 0.83, 0.0, 0.38, 97.78, 97.79, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(209138626, [2.0, 0.72, 0.0, 0.58, 0.0, 0.54, 0.0, 2.46, 0.0, 0.0], [0.0, 0.83, 0.0, 0.38, 97.78, 97.79, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(209238316, [2.0, 0.72, 0.0, 0.58, 0.0, 3.6, 0.0, 2.48, 0.0, 0.0], [0.0, 0.83, 0.0, 0.38, 97.78, 97.8, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(209338271, [2.0, 0.72, 0.0, 0.58, 0.0, 3.6, 0.0, 2.48, 0.0, 0.0], [0.0, 0.83, 0.0, 0.39, 97.79, 97.8, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(209438247, [2.0, 0.72, 0.0, 0.58, 0.0, 3.6, 0.0, 2.46, 0.0, 0.0], [0.0, 0.83, 0.0, 0.39, 97.79, 97.8, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(209538376, [2.0, 0.71, 0.0, 0.58, 0.0, 0.54, 0.0, 2.46, 0.0, 0.0], [0.0, 0.84, 0.0, 0.39, 97.8, 97.81, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(209638405, [2.0, 0.72, 0.0, 0.58, 0.0, 3.6, 0.0, 2.5, 0.0, 0.0], [0.0, 0.84, 0.0, 0.39, 97.8, 97.81, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(209738226, [2.0, 0.72, 0.0, 0.58, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, 0.84, 0.0, 0.39, 97.8, 97.81, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(209838388, [2.0, 0.72, 0.0, 0.58, 0.0, 3.6, 0.0, 2.47, 0.0, 0.0], [0.0, 0.84, 0.0, 0.39, 97.81, 97.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(209938229, [2.0, 0.72, 0.0, 0.58, 0.0, 3.6, 0.0, 2.48, 0.0, 0.0], [0.0, 0.84, 0.0, 0.39, 97.81, 97.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(210038285, [2.0, 0.72, 0.0, 0.58, 0.0, 0.54, 0.0, 2.47, 0.0, 0.0], [0.0, 0.84, 0.0, 0.39, 97.81, 97.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(210138534, [2.0, 0.72, 0.0, 0.58, 0.0, 0.54, 0.0, 2.47, 0.0, 0.0], [0.0, 0.84, 0.0, 0.38, 97.82, 97.83, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(210238392, [2.0, 0.72, 0.0, 0.58, 0.0, 0.54, 0.0, 2.5, 0.0, 0.0], [0.0, 0.84, 0.0, 0.39, 97.82, 97.83, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
