(43657918, [2.0, 0.64, 0.0, 0.58, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.22, 0.0, -0.07, 33.53, 33.53, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(43758003, [2.0, 0.64, 0.0, 0.58, 0.0, 3.6, 0.0, 2.42, 0.0, 0.0], [0.0, 0.22, 0.0, -0.07, 33.53, 33.53, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(43858102, [2.0, 0.64, 0.0, 0.58, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.22, 0.0, -0.06, 33.53, 33.53, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(43958521, [2.0, 0.64, 0.0, 0.58, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.22, 0.0, -0.06, 33.53, 33.54, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(44058194, [2.0, 0.64, 0.0, 0.59, 0.0, 3.6, 0.0, 2.46, 0.0, 0.0], [0.0, 0.22, 0.0, -0.06, 33.54, 33.55, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(44158086, [2.0, 0.64, 0.0, 0.58, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.22, 0.0, -0.05, 33.54, 33.55, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(44258130, [2.0, 0.64, 0.0, 0.59, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, 0.22, 0.0, -0.05, 33.55, 33.56, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(44357933, [2.0, 0.64, 0.0, 0.58, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.22, 0.0, -0.05, 33.55, 33.56, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(44457947, [2.0, 0.64, 0.0, 0.58, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.22, 0.0, -0.05, 33.56, 33.56, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(44558007, [2.0, 0.64, 0.0, 0.58, 0.0, 0.61, 0.0, 2.43, 0.0, 0.0], [0.0, 0.22, 0.0, -0.05, 33.56, 33.57, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(44657979, [2.0, 0.64, 0.0, 0.59, 0.0, 0.63, 0.0, 2.44, 0.0, 0.0], [0.0, 0.22, 0.0, -0.06, 33.57, 33.57, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(44758111, [2.0, 0.64, 0.0, 0.58, 0.0, 0.63, 0.0, 2.43, 0.0, 0.0], [0.0, 0.22, 0.0, -0.06, 33.57, 33.58, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(44858175, [2.0, 0.64, 0.0, 0.58, 0.0, 0.61, 0.0, 2.43, 0.0, 0.0], [0.0, 0.22, 0.0, -0.06, 33.58, 33.58, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(44958345, [2.0, 0.64, 0.0, 0.58, 0.0, 0.61, 0.0, 2.45, 0.0, 0.0], [0.0, 0.22, 0.0, -0.06, 33.58, 33.59, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(45058013, [2.0, 0.63, 0.0, 0.59, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.22, 0.0, -0.06, 33.59, 33.59, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(45157938, [2.0, 0.64, 0.0, 0.58, 0.0, 3.6, 0.0, 2.47, 0.0, 0.0], [0.0, 0.22, 0.0, -0.06, 33.59, 33.6, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(45258409, [2.0, 0.64, 0.0, 0.58, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.22, 0.0, -0.06, 33.6, 33.6, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(45358334, [2.0, 0.64, 0.0, 0.59, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.22, 0.0, -0.06, 33.6, 33.61, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(45458348, [2.0, 0.64, 0.0, 0.58, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.22, 0.0, -0.07, 33.61, 33.61, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(45558167, [2.0, 0.64, 0.0, 0.58, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, 0.22, 0.0, -0.07, 33.61, 33.62, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(45658076, [2.0, 0.64, 0.0, 0.58, 0.0, 3.6, 0.0, 2.43, 0.0, 0.0], [0.0, 0.22, 0.0, -0.07, 33.62, 33.62, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(45758202, [2.0, 0.64, 0.0, 0.59, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.22, 0.0, -0.07, 33.62, 33.63, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(45858327, [2.0, 0.64, 0.0, 0.58, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.22, 0.0, -0.07, 33.63, 33.63, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(45957982, [2.0, 0.64, 0.0, 0.58, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, 0.21, 0.0, -0.06, 33.63, 33.64, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(46058391, [2.0, 0.64, 0.0, 0.58, 0.0, 3.6, 0.0, 2.43, 0.0, 0.0], [0.0, 0.21, 0.0, -0.05, 33.61, 33.62, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(46158089, [2.0, 0.64, 0.0, 0.58, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, 0.21, 0.0, -0.05, 33.64, 33.65, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(46258373, [2.0, 0.64, 0.0, 0.58, 0.0, 3.6, 0.0, 2.43, 0.0, 0.0], [0.0, 0.23, 0.0, -0.04, 33.64, 33.64, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(46358051, [2.0, 0.64, 0.0, 0.58, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.23, 0.0, -0.04, 33.64, 33.65, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(46458497, [2.0, 0.64, 0.0, 0.58, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, 0.23, 0.0, -0.03, 33.65, 33.65, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(46558079, [2.0, 0.64, 0.0, 0.58, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, 0.24, 0.0, -0.03, 33.65, 33.65, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(46658196, [2.0, 0.64, 0.0, 0.59, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.24, 0.0, -0.03, 33.65, 33.66, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(46758424, [2.0, 0.64, 0.0, 0.59, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.25, 0.0, -0.04, 33.66, 33.67, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(46858340, [2.0, 0.64, 0.0, 0.58, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, 0.25, 0.0, -0.04, 33.66, 33.67, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(46958152, [2.0, 0.64, 0.0, 0.58, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, 0.24, 0.0, -0.04, 33.68, 33.69, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(47058826, [2.0, 0.64, 0.0, 0.58, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, 0.25, 0.0, -0.04, 33.67, 33.68, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(47158351, [2.0, 0.64, 0.0, 0.58, 0.0, 3.6, 0.0, 2.43, 0.0, 0.0], [0.0, 0.25, 0.0, -0.04, 33.69, 33.69, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(47258196, [2.0, 0.64, 0.0, 0.58, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, 0.27, 0.0, -0.05, 33.68, 33.69, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(47358130, [2.0, 0.64, 0.0, 0.58, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.26, 0.0, -0.06, 33.69, 33.7, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(47458025, [2.0, 0.64, 0.0, 0.58, 0.0, 3.6, 0.0, 2.43, 0.0, 0.0], [0.0, 0.27, 0.0, -0.06, 33.7, 33.71, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(47558531, [2.0, 0.64, 0.0, 0.58, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.26, 0.0, -0.06, 33.7, 33.7, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(47658404, [2.0, 0.64, 0.0, 0.59, 0.0, 3.6, 0.0, 2.44, 0.0, 0.0], [0.0, 0.26, 0.0, -0.05, 33.72, 33.72, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(47758501, [2.0, 0.64, 0.0, 0.58, 0.0, 0.62, 0.0, 2.45, 0.0, 0.0], [0.0, 0.26, 0.0, -0.05, 33.71, 33.71, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(47858497, [2.0, 0.64, 0.0, 0.59, 0.0, 0.62, 0.0, 2.43, 0.0, 0.0], [0.0, 0.26, 0.0, -0.06, 33.73, 33.73, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(47958190, [2.0, 0.64, 0.0, 0.58, 0.0, 0.62, 0.0, 2.44, 0.0, 0.0], [0.0, 0.26, 0.0, -0.06, 33.72, 33.72, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
