(68208583, [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.21, 0.0, 0.49, 351.45, 351.46, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(68308583, [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.21, 0.0, 0.49, 351.42, 351.43, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(68408598, [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.21, 0.0, 0.49, 351.4, 351.41, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(68509189, [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.21, 0.0, 0.49, 351.37, 351.38, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(68609232, [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.2, 0.0, 0.49, 351.34, 351.35, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(68709267, [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.2, 0.0, 0.49, 351.32, 351.33, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(68809151, [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.22, 0.0, 0.5, 351.31, 351.32, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(68909168, [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.19, 0.0, 0.54, 351.04, 351.04, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(69009154, [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.16, 0.0, 0.54, 349.14, 349.08, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(69109153, [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.17, 0.0, 0.49, 344.69, 344.65, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(69209047, [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.15, 0.0, 0.54, 341.08, 341.05, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(69309176, [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.14, 0.0, 0.52, 340.48, 340.49, 0.01, 1.0], [0.2, 25.0, 0.0, 0.0])
(69409260, [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.14, 0.0, 0.52, 340.4, 340.41, 0.01, 1.0], [0.2, 25.0, 0.0, 0.0])
(69509174, [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.14, 0.0, 0.51, 340.35, 340.36, 0.01, 1.0], [0.2, 25.0, 0.0, 0.0])
(69609073, [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.14, 0.0, 0.49, 340.29, 340.3, 0.01, 1.0], [0.2, 25.0, 0.0, 0.0])
(69709072, [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.14, 0.0, 0.5, 340.23, 340.24, 0.01, 1.0], [0.2, 25.0, 0.0, 0.0])
(69809041, [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.12, 0.0, 0.47, 340.19, 340.2, 0.01, 1.0], [0.2, 25.0, 0.0, 0.0])
(69909218, [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.12, 0.0, 0.47, 340.17, 340.18, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(70009342, [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.12, 0.0, 0.45, 340.02, 340.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(70109199, [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.12, 0.0, 0.47, 339.92, 339.93, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(70209277, [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.1, 0.0, 0.41, 338.83, 338.84, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(70309191, [1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.12, 0.0, 0.44, 338.71, 338.72, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
