(73634720, [2.0, 0.66, 0.0, 0.63, 0.0, 3.6, 0.0, 2.38, 0.0, 0.0], [0.0, 0.28, 0.0, 1.13, 24.2, 24.2, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(73734653, [2.0, 0.66, 0.0, 0.62, 0.0, 3.6, 0.0, 2.39, 0.0, 0.0], [0.0, 0.29, 0.0, 1.14, 24.21, 24.21, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(73834663, [2.0, 0.66, 0.0, 0.63, 0.0, 3.6, 0.0, 2.4, 0.0, 0.0], [0.0, 0.29, 0.0, 1.14, 24.22, 24.22, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(73934795, [2.0, 0.66, 0.0, 0.62, 0.0, 3.6, 0.0, 2.38, 0.0, 0.0], [0.0, 0.28, 0.0, 1.14, 24.23, 24.23, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(74034611, [2.0, 0.66, 0.0, 0.63, 0.0, 3.6, 0.0, 2.39, 0.0, 0.0], [0.0, 0.29, 0.0, 1.14, 24.23, 24.23, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(74134751, [2.0, 0.66, 0.0, 0.63, 0.0, 3.6, 0.0, 2.39, 0.0, 0.0], [0.0, 0.29, 0.0, 1.15, 24.24, 24.24, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(74234532, [2.0, 0.66, 0.0, 0.63, 0.0, 3.6, 0.0, 2.38, 0.0, 0.0], [0.0, 0.28, 0.0, 1.15, 24.24, 24.24, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(74334744, [2.0, 0.66, 0.0, 0.63, 0.0, 0.57, 0.0, 2.39, 0.0, 0.0], [0.0, 0.28, 0.0, 1.15, 24.25, 24.25, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(74434466, [2.0, 0.66, 0.0, 0.63, 0.0, 0.57, 0.0, 2.38, 0.0, 0.0], [0.0, 0.28, 0.0, 1.15, 24.26, 24.26, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(74534721, [2.0, 0.66, 0.0, 0.63, 0.0, 3.6, 0.0, 2.39, 0.0, 0.0], [0.0, 0.28, 0.0, 1.15, 24.27, 24.27, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(74634477, [2.0, 0.66, 0.0, 0.62, 0.0, 3.6, 0.0, 2.4, 0.0, 0.0], [0.0, 0.27, 0.0, 1.14, 24.28, 24.28, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(74734727, [2.0, 0.66, 0.0, 0.63, 0.0, 3.6, 0.0, 2.39, 0.0, 0.0], [0.0, 0.28, 0.0, 1.14, 24.29, 24.29, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(74834597, [2.0, 0.66, 0.0, 0.63, 0.0, 3.6, 0.0, 2.39, 0.0, 0.0], [0.0, 0.27, 0.0, 1.14, 24.3, 24.3, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(74934523, [2.0, 0.66, 0.0, 0.63, 0.0, 0.59, 0.0, 2.4, 0.0, 0.0], [0.0, 0.27, 0.0, 1.14, 24.3, 24.31, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(75034579, [2.0, 0.66, 0.0, 0.63, 0.0, 0.59, 0.0, 2.39, 0.0, 0.0], [0.0, 0.27, 0.0, 1.14, 24.31, 24.31, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(75134560, [2.0, 0.66, 0.0, 0.62, 0.0, 3.6, 0.0, 2.4, 0.0, 0.0], [0.0, 0.27, 0.0, 1.15, 24.32, 24.32, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(75234955, [2.0, 0.66, 0.0, 0.63, 0.0, 3.6, 0.0, 2.4, 0.0, 0.0], [0.0, 0.27, 0.0, 1.15, 24.33, 24.33, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(75334665, [2.0, 0.66, 0.0, 0.63, 0.0, 0.56, 0.0, 2.4, 0.0, 0.0], [0.0, 0.27, 0.0, 1.14, 24.34, 24.34, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(75434687, [2.0, 0.66, 0.0, 0.63, 0.0, 0.57, 0.0, 2.39, 0.0, 0.0], [0.0, 0.26, 0.0, 1.14, 24.35, 24.35, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(75534702, [2.0, 0.66, 0.0, 0.63, 0.0, 0.56, 0.0, 2.38, 0.0, 0.0], [0.0, 0.26, 0.0, 1.15, 24.36, 24.36, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(75634624, [2.0, 0.66, 0.0, 0.63, 0.0, 0.56, 0.0, 2.39, 0.0, 0.0], [0.0, 0.26, 0.0, 1.15, 24.37, 24.37, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(75734542, [2.0, 0.66, 0.0, 0.62, 0.0, 3.6, 0.0, 2.39, 0.0, 0.0], [0.0, 0.26, 0.0, 1.15, 24.37, 24.37, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(75834604, [2.0, 0.66, 0.0, 0.63, 0.0, 3.6, 0.0, 2.4, 0.0, 0.0], [0.0, 0.26, 0.0, 1.15, 24.38, 24.38, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(75934508, [2.0, 0.66, 0.0, 0.63, 0.0, 3.6, 0.0, 2.39, 0.0, 0.0], [0.0, 0.26, 0.0, 1.15, 24.39, 24.39, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(76034633, [2.0, 0.66, 0.0, 0.63, 0.0, 3.6, 0.0, 2.39, 0.0, 0.0], [0.0, 0.25, 0.0, 1.16, 24.4, 24.4, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(76134483, [2.0, 0.66, 0.0, 0.63, 0.0, 3.6, 0.0, 2.38, 0.0, 0.0], [0.0, 0.24, 0.0, 1.16, 24.41, 24.41, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(76234616, [2.0, 0.66, 0.0, 0.62, 0.0, 3.6, 0.0, 2.4, 0.0, 0.0], [0.0, 0.24, 0.0, 1.16, 24.4, 24.4, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(76334469, [2.0, 0.66, 0.0, 0.63, 0.0, 3.6, 0.0, 2.4, 0.0, 0.0], [0.0, 0.25, 0.0, 1.14, 24.41, 24.41, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(76434535, [2.0, 0.66, 0.0, 0.63, 0.0, 3.6, 0.0, 2.39, 0.0, 0.0], [0.0, 0.25, 0.0, 1.13, 24.42, 24.42, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(76534562, [2.0, 0.66, 0.0, 0.62, 0.0, 3.6, 0.0, 2.39, 0.0, 0.0], [0.0, 0.26, 0.0, 1.13, 24.44, 24.44, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(76635390, [2.0, 0.66, 0.0, 0.62, 0.0, 3.6, 0.0, 2.37, 0.0, 0.0], [0.0, 0.27, 0.0, 1.11, 24.43, 24.43, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(76734658, [2.0, 0.65, 0.0, 0.62, 0.0, 3.6, 0.0, 2.38, 0.0, 0.0], [0.0, 0.26, 0.0, 1.1, 24.45, 24.45, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(76834646, [2.0, 0.66, 0.0, 0.62, 0.0, 3.6, 0.0, 2.4, 0.0, 0.0], [0.0, 0.26, 0.0, 1.11, 24.45, 24.45, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(76934763, [2.0, 0.66, 0.0, 0.62, 0.0, 3.6, 0.0, 2.4, 0.0, 0.0], [0.0, 0.26, 0.0, 1.1, 24.46, 24.46, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(77034677, [2.0, 0.65, 0.0, 0.63, 0.0, 3.6, 0.0, 2.39, 0.0, 0.0], [0.0, 0.27, 0.0, 1.09, 24.45, 24.45, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(77135053, [2.0, 0.66, 0.0, 0.62, 0.0, 3.6, 0.0, 2.39, 0.0, 0.0], [0.0, 0.26, 0.0, 1.09, 24.48, 24.48, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(77234551, [2.0, 0.65, 0.0, 0.62, 0.0, 3.6, 0.0, 2.39, 0.0, 0.0], [0.0, 0.26, 0.0, 1.09, 24.47, 24.47, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(77334607, [2.0, 0.65, 0.0, 0.63, 0.0, 3.6, 0.0, 2.41, 0.0, 0.0], [0.0, 0.26, 0.0, 1.1, 24.5, 24.5, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(77434596, [2.0, 0.66, 0.0, 0.62, 0.0, 3.6, 0.0, 2.4, 0.0, 0.0], [0.0, 0.27, 0.0, 1.08, 24.48, 24.49, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
