(17094155, [2.0, 0.58, 0.0, 0.5, 0.0, 3.59, 0.0, 2.45, 0.0, 0.0], [0.0, 0.68, 0.0, -0.03, 355.07, 355.1, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(17194171, [2.0, 0.58, 0.0, 0.5, 0.0, 3.59, 0.0, 2.45, 0.0, 0.0], [0.0, 0.68, 0.0, -0.04, 355.07, 355.09, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(17294194, [2.0, 0.58, 0.0, 0.5, 0.0, 3.59, 0.0, 2.46, 0.0, 0.0], [0.0, 0.68, 0.0, -0.03, 355.07, 355.09, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(17394201, [2.0, 0.58, 0.0, 0.5, 0.0, 3.59, 0.0, 2.46, 0.0, 0.0], [0.0, 0.69, 0.0, -0.02, 355.07, 355.09, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(17494070, [2.0, 0.58, 0.0, 0.5, 0.0, 3.59, 0.0, 2.46, 0.0, 0.0], [0.0, 0.69, 0.0, -0.01, 355.07, 355.1, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(17594104, [2.0, 0.58, 0.0, 0.5, 0.0, 3.59, 0.0, 2.46, 0.0, 0.0], [0.0, 0.69, 0.0, 0.0, 355.07, 355.1, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(17694201, [2.0, 0.58, 0.0, 0.5, 0.0, 3.59, 0.0, 2.46, 0.0, 0.0], [0.0, 0.7, 0.0, 0.01, 355.07, 355.1, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(17794168, [2.0, 0.58, 0.0, 0.5, 0.0, 3.59, 0.0, 2.46, 0.0, 0.0], [0.0, 0.7, 0.0, 0.03, 355.07, 355.1, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(17894105, [2.0, 0.58, 0.0, 0.5, 0.0, 3.59, 0.0, 2.46, 0.0, 0.0], [0.0, 0.71, 0.0, 0.05, 355.08, 355.1, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(17994139, [2.0, 0.58, 0.0, 0.5, 0.0, 3.59, 0.0, 2.46, 0.0, 0.0], [0.0, 0.71, 0.0, 0.06, 355.08, 355.1, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18094298, [2.0, 0.58, 0.0, 0.5, 0.0, 3.59, 0.0, 2.46, 0.0, 0.0], [0.0, 0.72, 0.0, 0.08, 355.08, 355.1, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18193983, [2.0, 0.58, 0.0, 0.5, 0.0, 3.59, 0.0, 2.45, 0.0, 0.0], [0.0, 0.72, 0.0, 0.1, 355.08, 355.1, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18294006, [2.0, 0.58, 0.0, 0.5, 0.0, 3.59, 0.0, 2.46, 0.0, 0.0], [0.0, 0.72, 0.0, 0.11, 355.08, 355.1, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18395008, [2.0, 0.58, 0.0, 0.5, 0.0, 3.59, 0.0, 2.46, 0.0, 0.0], [0.0, 0.73, 0.0, 0.12, 355.08, 355.1, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18494197, [2.0, 0.58, 0.0, 0.5, 0.0, 3.59, 0.0, 2.45, 0.0, 0.0], [0.0, 0.73, 0.0, 0.13, 355.08, 355.1, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18594243, [2.0, 0.58, 0.0, 0.5, 0.0, 3.59, 0.0, 2.45, 0.0, 0.0], [0.0, 0.74, 0.0, 0.14, 355.08, 355.1, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18694203, [2.0, 0.58, 0.0, 0.5, 0.0, 3.59, 0.0, 2.45, 0.0, 0.0], [0.0, 0.74, 0.0, 0.15, 355.08, 355.1, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18794142, [2.0, 0.58, 0.0, 0.5, 0.0, 3.59, 0.0, 2.45, 0.0, 0.0], [0.0, 0.74, 0.0, 0.17, 355.08, 355.1, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18894147, [2.0, 0.58, 0.0, 0.5, 0.0, 3.59, 0.0, 2.46, 0.0, 0.0], [0.0, 0.75, 0.0, 0.17, 355.08, 355.1, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(18994300, [2.0, 0.58, 0.0, 0.5, 0.0, 3.59, 0.0, 2.46, 0.0, 0.0], [0.0, 0.75, 0.0, 0.18, 355.08, 355.11, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(19094130, [2.0, 0.58, 0.0, 0.5, 0.0, 3.59, 0.0, 2.45, 0.0, 0.0], [0.0, 0.75, 0.0, 0.18, 355.08, 355.11, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(19194720, [2.0, 0.58, 0.0, 0.5, 0.0, 3.59, 0.0, 2.47, 0.0, 0.0], [0.0, 0.75, 0.0, 0.19, 355.08, 355.11, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(19294285, [2.0, 0.58, 0.0, 0.5, 0.0, 3.59, 0.0, 2.46, 0.0, 0.0], [0.0, 0.76, 0.0, 0.2, 355.07, 355.1, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
