(34185514, [2.0, 0.48, 0.0, 0.46, 0.0, 0.9, 0.0, 2.64, 0.0, 0.0], [0.0, 0.08, 0.0, 0.58, 20.32, 20.32, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(34285503, [2.0, 0.48, 0.0, 0.46, 0.0, 0.9, 0.0, 2.63, 0.0, 0.0], [0.0, 0.07, 0.0, 0.59, 20.38, 20.38, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(34385629, [2.0, 0.48, 0.0, 0.46, 0.0, 3.6, 0.0, 2.64, 0.0, 0.0], [0.0, 0.06, 0.0, 0.6, 20.45, 20.45, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(34485470, [2.0, 0.48, 0.0, 0.46, 0.0, 0.88, 0.0, 2.62, 0.0, 0.0], [0.0, 0.05, 0.0, 0.61, 20.51, 20.52, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(34585521, [2.0, 0.48, 0.0, 0.46, 0.0, 0.88, 0.0, 2.63, 0.0, 0.0], [0.0, 0.04, 0.0, 0.62, 20.58, 20.58, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(34685502, [2.0, 0.48, 0.0, 0.46, 0.0, 0.88, 0.0, 2.61, 0.0, 0.0], [0.0, 0.03, 0.0, 0.63, 20.64, 20.65, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(34785693, [2.0, 0.49, 0.0, 0.47, 0.0, 0.88, 0.0, 2.63, 0.0, 0.0], [0.0, 0.01, 0.0, 0.64, 20.71, 20.71, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(34885504, [2.0, 0.49, 0.0, 0.46, 0.0, 0.85, 0.0, 2.63, 0.0, 0.0], [0.0, 0.0, 0.0, 0.65, 20.78, 20.78, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(34985619, [2.0, 0.48, 0.0, 0.46, 0.0, 0.87, 0.0, 2.65, 0.0, 0.0], [0.0, 0.0, 0.0, 0.66, 20.84, 20.84, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(35085511, [2.0, 0.48, 0.0, 0.46, 0.0, 0.87, 0.0, 2.63, 0.0, 0.0], [0.0, -0.01, 0.0, 0.67, 20.91, 20.91, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(35185387, [2.0, 0.48, 0.0, 0.46, 0.0, 0.89, 0.0, 2.63, 0.0, 0.0], [0.0, -0.02, 0.0, 0.67, 20.98, 20.98, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(35285512, [2.0, 0.48, 0.0, 0.46, 0.0, 0.89, 0.0, 2.63, 0.0, 0.0], [0.0, -0.03, 0.0, 0.68, 21.04, 21.04, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
