(9809049, [2.0, 0.57, 0.0, 0.6, 0.0, 3.59, 0.0, 2.37, 0.0, 0.0], [0.0, 0.56, 0.0, -0.52, 359.99, 0.01, 0.01, 1.0], [0.2, 25.0, 0.0, 0.0])
(9908849, [2.0, 0.57, 0.0, 0.6, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.56, 0.0, -0.52, 0.0, 0.01, 0.01, 1.0], [0.2, 25.0, 0.0, 0.0])
(10009073, [2.0, 0.57, 0.0, 0.6, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.56, 0.0, -0.52, 0.0, 0.01, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(10111074, [2.0, 0.57, 0.0, 0.6, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.56, 0.0, -0.53, 0.0, 0.01, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(10211644, [2.0, 0.57, 0.0, 0.6, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.55, 0.0, -0.53, 0.0, 0.01, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(10312955, [2.0, 0.57, 0.0, 0.6, 0.0, 3.59, 0.0, 2.37, 0.0, 0.0], [0.0, 0.55, 0.0, -0.53, 0.01, 0.02, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(10412065, [2.0, 0.57, 0.0, 0.6, 0.0, 3.59, 0.0, 2.37, 0.0, 0.0], [0.0, 0.55, 0.0, -0.53, 0.01, 0.02, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(10512456, [2.0, 0.57, 0.0, 0.6, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.54, 0.0, -0.53, 0.01, 0.02, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(10612011, [2.0, 0.57, 0.0, 0.6, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.54, 0.0, -0.53, 0.01, 0.02, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(10712176, [2.0, 0.57, 0.0, 0.6, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.53, 0.0, -0.53, 0.01, 0.02, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(10812247, [2.0, 0.57, 0.0, 0.6, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.54, 0.0, -0.53, 0.01, 0.02, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(10912179, [2.0, 0.57, 0.0, 0.6, 0.0, 3.59, 0.0, 2.37, 0.0, 0.0], [0.0, 0.53, 0.0, -0.53, 0.01, 0.02, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(11012792, [2.0, 0.57, 0.0, 0.6, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.53, 0.0, -0.53, 0.01, 0.02, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(11111952, [2.0, 0.57, 0.0, 0.6, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.53, 0.0, -0.54, 0.01, 0.02, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(11212406, [2.0, 0.57, 0.0, 0.6, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.53, 0.0, -0.54, 0.01, 0.02, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(11312326, [2.0, 0.57, 0.0, 0.6, 0.0, 3.59, 0.0, 2.37, 0.0, 0.0], [0.0, 0.53, 0.0, -0.54, 0.01, 0.02, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(11412357, [2.0, 0.57, 0.0, 0.6, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.52, 0.0, -0.54, 0.01, 0.02, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(11512225, [2.0, 0.57, 0.0, 0.6, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.52, 0.0, -0.54, 0.02, 0.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(11612334, [2.0, 0.57, 0.0, 0.6, 0.0, 3.59, 0.0, 2.39, 0.0, 0.0], [0.0, 0.52, 0.0, -0.54, 0.01, 0.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(11712619, [2.0, 0.57, 0.0, 0.6, 0.0, 3.59, 0.0, 2.39, 0.0, 0.0], [0.0, 0.52, 0.0, -0.54, 0.01, 0.02, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(11817860, [2.0, 0.57, 0.0, 0.6, 0.0, 3.59, 0.0, 2.39, 0.0, 0.0], [0.0, 0.52, 0.0, -0.54, 0.01, 0.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(11917738, [2.0, 0.57, 0.0, 0.6, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.52, 0.0, -0.54, 0.01, 0.02, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(12017687, [2.0, 0.57, 0.0, 0.6, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.52, 0.0, -0.54, 0.02, 0.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(12117673, [2.0, 0.57, 0.0, 0.6, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.53, 0.0, -0.54, 0.0, 0.01, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(12217827, [2.0, 0.57, 0.0, 0.6, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.54, 0.0, -0.54, 359.98, 0.0, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(12317856, [2.0, 0.57, 0.0, 0.6, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.55, 0.0, -0.52, 0.01, 0.02, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(12418127, [2.0, 0.57, 0.0, 0.6, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.54, 0.0, -0.52, 0.01, 0.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(12518492, [2.0, 0.57, 0.0, 0.6, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.55, 0.0, -0.52, 0.01, 0.02, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(12617838, [2.0, 0.57, 0.0, 0.6, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.53, 0.0, -0.52, 0.02, 0.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(12718051, [2.0, 0.57, 0.0, 0.6, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.53, 0.0, -0.52, 0.01, 0.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(12818118, [2.0, 0.57, 0.0, 0.6, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.53, 0.0, -0.52, 0.02, 0.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(12918072, [2.0, 0.57, 0.0, 0.6, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.54, 0.0, -0.52, 0.02, 0.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(13018647, [2.0, 0.57, 0.0, 0.6, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.54, 0.0, -0.52, 0.02, 0.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(13118415, [2.0, 0.57, 0.0, 0.6, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.55, 0.0, -0.52, 0.01, 0.02, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(13218263, [2.0, 0.57, 0.0, 0.6, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.55, 0.0, -0.52, 0.03, 0.04, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(13341958, [2.0, 0.57, 0.0, 0.6, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.56, 0.0, -0.51, 0.02, 0.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(13441499, [2.0, 0.57, 0.0, 0.59, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.55, 0.0, -0.52, 0.03, 0.04, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(13541625, [2.0, 0.57, 0.0, 0.59, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.55, 0.0, -0.52, 0.02, 0.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(13641731, [2.0, 0.57, 0.0, 0.59, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.57, 0.0, -0.52, 0.02, 0.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(13741258, [2.0, 0.57, 0.0, 0.59, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.57, 0.0, -0.51, 0.03, 0.04, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(13841401, [2.0, 0.57, 0.0, 0.59, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.57, 0.0, -0.51, 0.03, 0.04, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(13941340, [2.0, 0.57, 0.0, 0.59, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.57, 0.0, -0.52, 0.02, 0.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(14041266, [2.0, 0.57, 0.0, 0.59, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.59, 0.0, -0.52, 0.03, 0.04, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(14141168, [2.0, 0.57, 0.0, 0.59, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.58, 0.0, -0.52, 0.04, 0.05, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(14241222, [2.0, 0.57, 0.0, 0.59, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.58, 0.0, -0.52, 0.02, 0.04, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(14341226, [2.0, 0.57, 0.0, 0.59, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.58, 0.0, -0.53, 0.03, 0.04, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(14442428, [2.0, 0.57, 0.0, 0.59, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.58, 0.0, -0.52, 0.03, 0.05, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(14542247, [2.0, 0.57, 0.0, 0.59, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.59, 0.0, -0.52, 0.03, 0.05, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(14642452, [2.0, 0.57, 0.0, 0.59, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.59, 0.0, -0.52, 0.03, 0.04, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(14743879, [2.0, 0.57, 0.0, 0.59, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.6, 0.0, -0.52, 0.03, 0.04, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(14844910, [2.0, 0.57, 0.0, 0.59, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.58, 0.0, -0.52, 0.03, 0.05, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(14944813, [2.0, 0.57, 0.0, 0.59, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.58, 0.0, -0.5, 0.03, 0.04, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(15044747, [2.0, 0.57, 0.0, 0.59, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.57, 0.0, -0.53, 0.03, 0.06, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(15144782, [2.0, 0.57, 0.0, 0.59, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.56, 0.0, -0.59, 0.03, 0.09, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(15244801, [2.0, 0.57, 0.0, 0.59, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [0.0, 0.51, 0.0, -1.82, 0.03, 0.11, 0.01, 1.0], [0.2, 25.0, 0.0, 0.0])
(15345367, [2.0, 0.57, 0.0, 0.59, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [-0.78, -0.24, 0.81, -4.82, 0.03, 0.37, 0.01, 1.0], [0.2, 25.0, 0.0, 0.0])
(15445327, [2.0, 0.56, 0.0, 0.59, 0.0, 3.59, 0.0, 2.38, 0.0, 0.0], [-1.42, -2.13, 1.5, -6.83, 0.03, 1.01, 0.02, 1.0], [0.2, 25.0, 0.0, 0.0])
(15571602, [2.0, 0.54, 0.0, 0.6, 0.0, 3.59, 0.0, 2.37, 0.0, 0.0], [-1.73, -3.59, 1.86, -8.32, 0.03, 2.2, 0.02, 1.0], [0.2, 25.0, 0.0, 0.0])
(15679103, [2.0, 0.51, 0.0, 0.6, 0.0, 3.59, 0.0, 2.36, 0.0, 0.0], [-1.84, -3.51, 2.07, -8.18, 0.03, 3.21, 0.04, 1.0], [0.2, 25.0, 0.0, 0.0])
(15781055, [2.0, 0.51, 0.0, 0.61, 0.0, 3.59, 0.0, 2.34, 0.0, 0.0], [-1.85, -3.06, 2.21, -7.5, 0.03, 4.04, 0.04, 1.0], [0.2, 25.0, 0.0, 0.0])
(15885380, [2.0, 0.46, 0.0, 0.63, 0.0, 3.59, 0.0, 2.33, 0.0, 0.0], [-1.78, -2.71, 2.33, -6.75, 0.03, 4.7, 0.06, 1.0], [0.2, 25.0, 0.0, 0.0])
(16103920, [2.0, 0.27, 0.0, 0.67, 0.0, 3.59, 0.0, 2.3, 0.0, 0.0], [-1.49, -3.13, 2.57, -7.99, 0.03, 1.91, 0.07, 1.0], [0.2, 25.0, 0.0, 0.0])
(16321176, [2.0, 0.16, 0.0, 0.7, 0.0, 3.59, 0.0, 2.27, 0.0, 0.0], [-1.18, 21.42, 2.74, -32.57, 0.03, 1.34, 0.16, 1.0], [7.65, 25.0, 0.0, 0.0])
