(313994719, [2.0, 0.89, 0.0, 1.26, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.22, 0.0, 0.22, 93.26, 93.26, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(314094744, [2.0, 0.89, 0.0, 1.26, 0.0, 3.6, 0.0, 1.21, 0.0, 0.0], [0.0, -0.22, 0.0, 0.23, 93.23, 93.23, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(314194708, [2.0, 0.89, 0.0, 1.25, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.23, 0.0, 0.22, 93.22, 93.22, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(314295031, [2.0, 0.89, 0.0, 1.25, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.23, 0.0, 0.22, 93.23, 93.22, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(314394705, [2.0, 0.89, 0.0, 1.23, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.23, 0.0, 0.22, 93.22, 93.22, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(314495013, [2.0, 0.89, 0.0, 1.26, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.24, 0.0, 0.22, 93.22, 93.22, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(314594711, [2.0, 0.89, 0.0, 1.26, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.24, 0.0, 0.21, 93.23, 93.22, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(314695258, [2.0, 0.89, 0.0, 1.26, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.24, 0.0, 0.21, 93.21, 93.21, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(314794702, [2.0, 0.89, 0.0, 1.25, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.23, 0.0, 0.21, 93.22, 93.22, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(314895338, [2.0, 0.89, 0.0, 1.26, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.23, 0.0, 0.22, 93.22, 93.21, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(314994864, [2.0, 0.89, 0.0, 1.25, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.23, 0.0, 0.21, 93.21, 93.21, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(315095237, [2.0, 0.89, 0.0, 1.27, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.23, 0.0, 0.22, 93.21, 93.2, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(315194879, [2.0, 0.89, 0.0, 1.24, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.24, 0.0, 0.22, 93.19, 93.19, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(315294787, [2.0, 0.89, 0.0, 1.26, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.23, 0.0, 0.22, 93.19, 93.19, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(315394730, [2.0, 0.89, 0.0, 1.24, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.23, 0.0, 0.22, 93.19, 93.18, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(315495025, [2.0, 0.89, 0.0, 1.25, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.23, 0.0, 0.22, 93.19, 93.18, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(315594780, [2.0, 0.89, 0.0, 1.26, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.23, 0.0, 0.22, 93.19, 93.18, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(315694828, [2.0, 0.89, 0.0, 1.26, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.23, 0.0, 0.22, 93.18, 93.18, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(315794788, [2.0, 0.89, 0.0, 1.26, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.22, 0.0, 0.21, 93.18, 93.18, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(315894809, [2.0, 0.89, 0.0, 1.26, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.22, 0.0, 0.21, 93.18, 93.17, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(315994726, [2.0, 0.89, 0.0, 1.26, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.22, 0.0, 0.21, 93.17, 93.17, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(316094711, [2.0, 0.89, 0.0, 1.27, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.21, 0.0, 0.21, 93.18, 93.18, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(316195121, [2.0, 0.89, 0.0, 1.27, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.21, 0.0, 0.2, 93.18, 93.17, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(316294849, [2.0, 0.89, 0.0, 1.25, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.21, 0.0, 0.2, 93.17, 93.17, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(316395345, [2.0, 0.89, 0.0, 1.26, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.21, 0.0, 0.21, 93.17, 93.18, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(316494872, [2.0, 0.89, 0.0, 1.25, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.22, 0.0, 0.19, 93.17, 93.2, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(316595194, [2.0, 0.89, 0.0, 1.25, 0.0, 3.6, 0.0, 1.2, 0.0, 0.0], [0.0, -0.65, 0.0, -0.05, 93.17, 93.62, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
