(32716053, [2.0, 0.62, 0.0, 0.63, 0.0, 3.6, 0.0, 2.39, 0.0, 0.0], [0.0, 0.17, 0.0, -0.04, 344.28, 344.29, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(32816370, [2.0, 0.62, 0.0, 0.63, 0.0, 3.6, 0.0, 2.4, 0.0, 0.0], [0.0, 0.17, 0.0, -0.04, 344.17, 344.19, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(32916451, [2.0, 0.62, 0.0, 0.63, 0.0, 3.6, 0.0, 2.37, 0.0, 0.0], [0.0, 0.17, 0.0, -0.05, 344.07, 344.08, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(33016108, [2.0, 0.62, 0.0, 0.63, 0.0, 3.6, 0.0, 2.39, 0.0, 0.0], [0.0, 0.17, 0.0, -0.05, 343.97, 343.98, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(33115901, [2.0, 0.62, 0.0, 0.63, 0.0, 3.6, 0.0, 2.39, 0.0, 0.0], [0.0, 0.17, 0.0, -0.05, 343.86, 343.88, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(33217480, [2.0, 0.62, 0.0, 0.63, 0.0, 3.6, 0.0, 2.39, 0.0, 0.0], [0.0, 0.17, 0.0, -0.05, 343.76, 343.77, 0.0, 1.0], [0.55, 25.0, 0.0, 0.0])
(33315899, [2.0, 0.61, 0.0, 0.63, 0.0, 3.6, 0.0, 2.39, 0.0, 0.0], [0.0, 0.17, 0.0, -0.05, 343.66, 343.67, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(33416116, [2.0, 0.61, 0.0, 0.63, 0.0, 3.6, 0.0, 2.4, 0.0, 0.0], [0.0, 0.17, 0.0, -0.05, 343.55, 343.57, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(33516490, [2.0, 0.62, 0.0, 0.63, 0.0, 3.6, 0.0, 2.38, 0.0, 0.0], [0.0, 0.17, 0.0, -0.05, 343.45, 343.46, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(33616705, [2.0, 0.62, 0.0, 0.63, 0.0, 3.6, 0.0, 2.4, 0.0, 0.0], [0.0, 0.17, 0.0, -0.06, 343.35, 343.36, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(33715905, [2.0, 0.62, 0.0, 0.63, 0.0, 3.6, 0.0, 2.39, 0.0, 0.0], [0.0, 0.17, 0.0, -0.06, 343.24, 343.25, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(33816877, [2.0, 0.62, 0.0, 0.63, 0.0, 3.6, 0.0, 2.4, 0.0, 0.0], [0.0, 0.17, 0.0, -0.06, 343.14, 343.15, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(33916034, [2.0, 0.62, 0.0, 0.63, 0.0, 3.6, 0.0, 2.39, 0.0, 0.0], [0.0, 0.17, 0.0, -0.06, 343.03, 343.05, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(34016116, [2.0, 0.62, 0.0, 0.63, 0.0, 3.6, 0.0, 2.4, 0.0, 0.0], [0.0, 0.17, 0.0, -0.06, 342.93, 342.94, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(34115949, [2.0, 0.62, 0.0, 0.63, 0.0, 3.6, 0.0, 2.38, 0.0, 0.0], [0.0, 0.17, 0.0, -0.06, 342.82, 342.84, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(34215906, [2.0, 0.62, 0.0, 0.63, 0.0, 3.6, 0.0, 2.4, 0.0, 0.0], [0.0, 0.17, 0.0, -0.05, 342.72, 342.74, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(34315990, [2.0, 0.62, 0.0, 0.63, 0.0, 3.6, 0.0, 2.4, 0.0, 0.0], [0.0, 0.17, 0.0, -0.06, 342.62, 342.63, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(34415908, [2.0, 0.62, 0.0, 0.63, 0.0, 3.6, 0.0, 2.39, 0.0, 0.0], [0.0, 0.16, 0.0, -0.06, 342.52, 342.53, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(34516011, [2.0, 0.62, 0.0, 0.63, 0.0, 3.6, 0.0, 2.38, 0.0, 0.0], [0.0, 0.16, 0.0, -0.06, 342.41, 342.43, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(34616217, [2.0, 0.62, 0.0, 0.63, 0.0, 3.6, 0.0, 2.39, 0.0, 0.0], [0.0, 0.16, 0.0, -0.06, 342.31, 342.32, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(34716026, [2.0, 0.62, 0.0, 0.63, 0.0, 3.6, 0.0, 2.4, 0.0, 0.0], [0.0, 0.16, 0.0, -0.05, 342.21, 342.22, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(34816034, [2.0, 0.62, 0.0, 0.63, 0.0, 0.65, 0.0, 2.39, 0.0, 0.0], [0.0, 0.16, 0.0, -0.05, 342.11, 342.12, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(34916341, [2.0, 0.62, 0.0, 0.63, 0.0, 0.65, 0.0, 2.4, 0.0, 0.0], [0.0, 0.16, 0.0, -0.05, 342.02, 342.03, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(35015933, [2.0, 0.62, 0.0, 0.63, 0.0, 3.6, 0.0, 2.38, 0.0, 0.0], [0.0, 0.16, 0.0, -0.04, 341.89, 341.9, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(35116385, [2.0, 0.62, 0.0, 0.63, 0.0, 3.6, 0.0, 2.39, 0.0, 0.0], [0.0, 0.16, 0.0, -0.03, 341.8, 341.82, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(35216098, [2.0, 0.62, 0.0, 0.63, 0.0, 3.6, 0.0, 2.4, 0.0, 0.0], [0.0, 0.17, 0.0, -0.04, 341.66, 341.68, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
