(21995985, [2.0, 0.61, 0.0, 0.6, 0.0, 3.6, 0.0, 2.48, 0.0, 0.0], [0.0, 0.79, 0.0, 0.45, 0.12, 0.13, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(22097853, [2.0, 0.61, 0.0, 0.6, 0.0, 3.6, 0.0, 2.47, 0.0, 0.0], [0.0, 0.79, 0.0, 0.45, 0.12, 0.13, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(22197920, [2.0, 0.61, 0.0, 0.6, 0.0, 3.6, 0.0, 2.46, 0.0, 0.0], [0.0, 0.8, 0.0, 0.45, 0.12, 0.13, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(22297814, [2.0, 0.61, 0.0, 0.6, 0.0, 3.6, 0.0, 2.47, 0.0, 0.0], [0.0, 0.8, 0.0, 0.45, 0.12, 0.13, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(22397813, [2.0, 0.61, 0.0, 0.6, 0.0, 3.6, 0.0, 2.47, 0.0, 0.0], [0.0, 0.79, 0.0, 0.45, 0.12, 0.13, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(22497979, [2.0, 0.61, 0.0, 0.6, 0.0, 3.6, 0.0, 2.46, 0.0, 0.0], [0.0, 0.8, 0.0, 0.44, 0.12, 0.13, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(22597881, [2.0, 0.61, 0.0, 0.6, 0.0, 3.6, 0.0, 2.46, 0.0, 0.0], [0.0, 0.8, 0.0, 0.44, 0.13, 0.14, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(22697881, [2.0, 0.61, 0.0, 0.6, 0.0, 3.6, 0.0, 2.47, 0.0, 0.0], [0.0, 0.8, 0.0, 0.44, 0.13, 0.14, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(22797934, [2.0, 0.61, 0.0, 0.6, 0.0, 3.6, 0.0, 2.47, 0.0, 0.0], [0.0, 0.8, 0.0, 0.44, 0.13, 0.14, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(22897912, [2.0, 0.61, 0.0, 0.6, 0.0, 3.6, 0.0, 2.45, 0.0, 0.0], [0.0, 0.8, 0.0, 0.44, 0.13, 0.14, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(22998038, [2.0, 0.61, 0.0, 0.6, 0.0, 3.6, 0.0, 2.47, 0.0, 0.0], [0.0, 0.8, 0.0, 0.44, 0.13, 0.14, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
